GAME_ID,Season ID,Home Team ABB,Away Team ABB,Home Team Name,Away Team Name,Home ID,Away ID,Home Points,Away Points,Home Win,Match,Date,Home Won Previous Match,Away Won Previous Match,Home Win Streak,Away Win Streak,Home Team Higher Rank,Home Team Won Last
0021400001,22014,NOP,ORL,New Orleans Pelicans,Orlando Magic,1610612740,1610612753,101,84,1,NOP vs. ORL,2014-10-28,False,False,0,0,1,0
0021400002,22014,SAS,DAL,San Antonio Spurs,Dallas Mavericks,1610612759,1610612742,101,100,1,SAS vs. DAL,2014-10-28,False,False,0,0,1,0
0021400003,22014,LAL,HOU,Los Angeles Lakers,Houston Rockets,1610612747,1610612745,90,108,0,HOU @ LAL,2014-10-28,False,False,0,0,0,0
0021400004,22014,CHA,MIL,Charlotte Hornets,Milwaukee Bucks,1610612766,1610612749,108,106,1,MIL @ CHA,2014-10-29,False,False,0,0,1,0
0021400005,22014,IND,PHI,Indiana Pacers,Philadelphia 76ers,1610612754,1610612755,103,91,1,IND vs. PHI,2014-10-29,False,False,0,0,1,0
0021400006,22014,BOS,BKN,Boston Celtics,Brooklyn Nets,1610612738,1610612751,121,105,1,BKN @ BOS,2014-10-29,False,False,0,0,0,0
0021400007,22014,MIA,WAS,Miami Heat,Washington Wizards,1610612748,1610612764,107,95,1,WAS @ MIA,2014-10-29,False,False,0,0,1,0
0021400008,22014,TOR,ATL,Toronto Raptors,Atlanta Hawks,1610612761,1610612737,109,102,1,TOR vs. ATL,2014-10-29,False,False,0,0,1,0
0021400009,22014,MEM,MIN,Memphis Grizzlies,Minnesota Timberwolves,1610612763,1610612750,105,101,1,MEM vs. MIN,2014-10-29,False,False,0,0,1,0
0021400010,22014,NYK,CHI,New York Knicks,Chicago Bulls,1610612752,1610612741,80,104,0,NYK vs. CHI,2014-10-29,False,False,0,0,0,0
0021400011,22014,DEN,DET,Denver Nuggets,Detroit Pistons,1610612743,1610612765,89,79,1,DET @ DEN,2014-10-29,False,False,0,0,1,0
0021400012,22014,UTA,HOU,Utah Jazz,Houston Rockets,1610612762,1610612745,93,104,0,HOU @ UTA,2014-10-29,False,True,0,1,0,0
0021400013,22014,PHX,LAL,Phoenix Suns,Los Angeles Lakers,1610612756,1610612747,119,99,1,LAL @ PHX,2014-10-29,False,False,0,0,1,0
0021400014,22014,SAC,GSW,Sacramento Kings,Golden State Warriors,1610612758,1610612744,77,95,0,GSW @ SAC,2014-10-29,False,False,0,0,0,0
0021400015,22014,POR,OKC,Portland Trail Blazers,Oklahoma City Thunder,1610612757,1610612760,106,89,1,POR vs. OKC,2014-10-29,False,False,0,0,0,0
0021400016,22014,ORL,WAS,Orlando Magic,Washington Wizards,1610612753,1610612764,98,105,0,ORL vs. WAS,2014-10-30,False,False,0,0,0,0
0021400017,22014,MIN,DET,Minnesota Timberwolves,Detroit Pistons,1610612750,1610612765,97,91,1,DET @ MIN,2014-10-30,False,False,0,0,1,0
0021400018,22014,CLE,NYK,Cleveland Cavaliers,New York Knicks,1610612739,1610612752,90,95,0,NYK @ CLE,2014-10-30,False,False,0,0,0,0
0021400019,22014,DAL,UTA,Dallas Mavericks,Utah Jazz,1610612742,1610612762,120,102,1,UTA @ DAL,2014-10-30,False,False,0,0,1,0
0021400020,22014,LAC,OKC,Los Angeles Clippers,Oklahoma City Thunder,1610612746,1610612760,93,90,1,OKC @ LAC,2014-10-30,False,False,0,0,0,0
0021400021,22014,IND,MEM,Indiana Pacers,Memphis Grizzlies,1610612754,1610612763,89,97,0,MEM @ IND,2014-10-31,True,True,1,1,1,0
0021400022,22014,CHI,CLE,Chicago Bulls,Cleveland Cavaliers,1610612741,1610612739,108,114,0,CHI vs. CLE,2014-10-31,True,False,1,0,1,0
0021400023,22014,MIL,PHI,Milwaukee Bucks,Philadelphia 76ers,1610612749,1610612755,93,81,1,PHI @ MIL,2014-10-31,False,False,0,0,0,0
