GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0021800001,22018,Boston Celtics,Philadelphia 76ers,105,87,W,BOS vs. PHI,2018-10-16
0021800002,22018,Golden State Warriors,Oklahoma City Thunder,108,100,L,OKC @ GSW,2018-10-16
0021800003,22018,Charlotte Hornets,Milwaukee Bucks,112,113,L,CHA vs. MIL,2018-10-17
0021800004,22018,Detroit Pistons,Brooklyn Nets,103,100,W,DET vs. BKN,2018-10-17
0021800005,22018,Indiana Pacers,Memphis Grizzlies,111,83,L,MEM @ IND,2018-10-17
0021800006,22018,Orlando Magic,Miami Heat,104,101,L,MIA @ ORL,2018-10-17
0021800007,22018,New York Knicks,Atlanta Hawks,126,107,W,NYK vs. ATL,2018-10-17
0021800008,22018,Toronto Raptors,Cleveland Cavaliers,116,104,L,CLE @ TOR,2018-10-17
0021800009,22018,Houston Rockets,New Orleans Pelicans,112,131,W,NOP @ HOU,2018-10-17
0021800010,22018,San Antonio Spurs,Minnesota Timberwolves,112,108,L,MIN @ SAS,2018-10-17
0021800011,22018,Sacramento Kings,Utah Jazz,117,123,W,UTA @ SAC,2018-10-17
0021800012,22018,Los Angeles Clippers,Denver Nuggets,98,107,L,LAC vs. DEN,2018-10-17
0021800013,22018,Phoenix Suns,Dallas Mavericks,121,100,W,PHX vs. DAL,2018-10-17
0021800014,22018,Philadelphia 76ers,Chicago Bulls,127,108,W,PHI vs. CHI,2018-10-18
0021800015,22018,Washington Wizards,Miami Heat,112,113,L,WAS vs. MIA,2018-10-18
0021800016,22018,Portland Trail Blazers,Los Angeles Lakers,128,119,W,POR vs. LAL,2018-10-18
0021800017,22018,Orlando Magic,Charlotte Hornets,88,120,W,CHA @ ORL,2018-10-19
0021800018,22018,Brooklyn Nets,New York Knicks,107,105,W,BKN vs. NYK,2018-10-19
0021800019,22018,Toronto Raptors,Boston Celtics,113,101,W,TOR vs. BOS,2018-10-19
0021800020,22018,Memphis Grizzlies,Atlanta Hawks,131,117,L,ATL @ MEM,2018-10-19
0021800021,22018,Minnesota Timberwolves,Cleveland Cavaliers,131,123,L,CLE @ MIN,2018-10-19
0021800022,22018,New Orleans Pelicans,Sacramento Kings,149,129,L,SAC @ NOP,2018-10-19
0021800023,22018,Milwaukee Bucks,Indiana Pacers,118,101,L,IND @ MIL,2018-10-19
0021800024,22018,Utah Jazz,Golden State Warriors,123,124,L,UTA vs. GSW,2018-10-19
