GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0020800200,22008,Houston Rockets,Houston Rockets,107,107,W,HOU @ MIA,2008-11-24
0020800205,22008,Washington Wizards,Golden State Warriors,124,100,W,WAS vs. GSW,2008-11-25
0020800206,22008,New York Knicks,Cleveland Cavaliers,101,119,L,NYK vs. CLE,2008-11-25
0020800207,22008,Oklahoma City Thunder,Phoenix Suns,98,99,W,PHX @ OKC,2008-11-25
0020800208,22008,Dallas Mavericks,Indiana Pacers,109,106,L,IND @ DAL,2008-11-25
0020800209,22008,Los Angeles Lakers,Brooklyn Nets,120,93,W,LAL vs. NJN,2008-11-25
0020800210,22008,Atlanta Hawks,Milwaukee Bucks,102,96,W,ATL vs. MIL,2008-11-26
0020800211,22008,Cleveland Cavaliers,Oklahoma City Thunder,117,82,W,CLE vs. OKC,2008-11-26
0020800212,22008,Toronto Raptors,Charlotte Hornets,93,86,L,CHA @ TOR,2008-11-26
0020800213,22008,Boston Celtics,Golden State Warriors,119,111,L,GSW @ BOS,2008-11-26
0020800214,22008,Philadelphia 76ers,Orlando Magic,94,96,L,PHI vs. ORL,2008-11-26
0020800215,22008,Detroit Pistons,New York Knicks,110,96,W,DET vs. NYK,2008-11-26
0020800216,22008,Minnesota Timberwolves,Phoenix Suns,102,110,W,PHX @ MIN,2008-11-26
0020800217,22008,Houston Rockets,Indiana Pacers,90,91,L,HOU vs. IND,2008-11-26
0020800218,22008,San Antonio Spurs,Chicago Bulls,98,88,L,CHI @ SAS,2008-11-26
0020800219,22008,Utah Jazz,Memphis Grizzlies,117,100,W,UTA vs. MEM,2008-11-26
0020800220,22008,Portland Trail Blazers,Miami Heat,106,68,W,POR vs. MIA,2008-11-26
0020800221,22008,Sacramento Kings,Brooklyn Nets,114,116,L,SAC vs. NJN,2008-11-26
0020800222,22008,Los Angeles Clippers,Denver Nuggets,105,106,L,LAC vs. DEN,2008-11-26
0020800223,22008,Washington Wizards,Orlando Magic,90,105,L,WAS vs. ORL,2008-11-27
0020800224,22008,Denver Nuggets,New Orleans Pelicans,101,105,W,NOH @ DEN,2008-11-27
0020800225,22008,Toronto Raptors,Atlanta Hawks,93,88,L,ATL @ TOR,2008-11-28
0020800226,22008,Boston Celtics,Philadelphia 76ers,102,78,L,PHI @ BOS,2008-11-28
0020800227,22008,Cleveland Cavaliers,Golden State Warriors,112,97,W,CLE vs. GSW,2008-11-28
0020800228,22008,Detroit Pistons,Milwaukee Bucks,107,97,L,MIL @ DET,2008-11-28
0020800229,22008,Indiana Pacers,Charlotte Hornets,108,115,L,IND vs. CHA,2008-11-28
0020800230,22008,Oklahoma City Thunder,Minnesota Timberwolves,103,105,L,OKC vs. MIN,2008-11-28
0020800231,22008,Phoenix Suns,Miami Heat,92,107,L,PHX vs. MIA,2008-11-28
0020800232,22008,San Antonio Spurs,Memphis Grizzlies,109,98,W,SAS vs. MEM,2008-11-28
0020800233,22008,Utah Jazz,Sacramento Kings,120,94,W,UTA vs. SAC,2008-11-28
0020800234,22008,Portland Trail Blazers,New Orleans Pelicans,101,86,L,NOH @ POR,2008-11-28
0020800235,22008,Los Angeles Lakers,Dallas Mavericks,114,107,L,DAL @ LAL,2008-11-28
0020800236,22008,Charlotte Hornets,Boston Celtics,84,89,W,BOS @ CHA,2008-11-29
0020800237,22008,Orlando Magic,Indiana Pacers,110,96,W,ORL vs. IND,2008-11-29
0020800238,22008,Washington Wizards,Atlanta Hawks,98,102,W,ATL @ WAS,2008-11-29
0020800239,22008,New York Knicks,Golden State Warriors,138,125,W,NYK vs. GSW,2008-11-29
0020800240,22008,Memphis Grizzlies,Oklahoma City Thunder,103,111,W,OKC @ MEM,2008-11-29
0020800241,22008,Minnesota Timberwolves,Denver Nuggets,97,106,W,DEN @ MIN,2008-11-29
0020800242,22008,Houston Rockets,San Antonio Spurs,103,84,L,SAS @ HOU,2008-11-29
0020800243,22008,Milwaukee Bucks,Cleveland Cavaliers,85,97,W,CLE @ MIL,2008-11-29
0020800244,22008,Utah Jazz,Brooklyn Nets,88,105,L,UTA vs. NJN,2008-11-29
0020800245,22008,Sacramento Kings,Dallas Mavericks,78,101,L,SAC vs. DAL,2008-11-29
0020800246,22008,Los Angeles Clippers,Miami Heat,97,96,W,LAC vs. MIA,2008-11-29
0020800247,22008,Detroit Pistons,Portland Trail Blazers,85,96,L,DET vs. POR,2008-11-30
0020800248,22008,Philadelphia 76ers,Chicago Bulls,92,103,W,CHI @ PHI,2008-11-30
0020800249,22008,Denver Nuggets,Houston Rockets,104,94,L,HOU @ DEN,2008-11-30
0020800250,22008,Phoenix Suns,Brooklyn Nets,109,117,L,PHX vs. NJN,2008-11-30
0020800251,22008,Los Angeles Lakers,Toronto Raptors,112,99,L,TOR @ LAL,2008-11-30
0020800252,22008,Charlotte Hornets,Minnesota Timberwolves,100,90,L,MIN @ CHA,2008-12-01
0020800253,22008,Boston Celtics,Orlando Magic,107,88,L,ORL @ BOS,2008-12-01
0020800254,22008,Golden State Warriors,Miami Heat,129,130,W,MIA @ GSW,2008-12-01
0020800255,22008,Indiana Pacers,Los Angeles Lakers,118,117,L,LAL @ IND,2008-12-02
0020800256,22008,Brooklyn Nets,Washington Wizards,88,108,W,WAS @ NJN,2008-12-02
0020800257,22008,New York Knicks,Portland Trail Blazers,97,104,L,NYK vs. POR,2008-12-02
0020800258,22008,Chicago Bulls,Philadelphia 76ers,95,103,L,CHI vs. PHI,2008-12-02
0020800259,22008,Dallas Mavericks,Los Angeles Clippers,100,98,W,DAL vs. LAC,2008-12-02
0020800260,22008,San Antonio Spurs,Detroit Pistons,77,89,W,DET @ SAS,2008-12-02
0020800261,22008,Denver Nuggets,Toronto Raptors,132,93,L,TOR @ DEN,2008-12-02
0020800262,22008,Sacramento Kings,Utah Jazz,94,99,L,SAC vs. UTA,2008-12-02
0020800263,22008,Atlanta Hawks,Memphis Grizzlies,105,95,W,ATL vs. MEM,2008-12-03
0020800264,22008,Charlotte Hornets,Oklahoma City Thunder,103,97,L,OKC @ CHA,2008-12-03
0020800265,22008,Cleveland Cavaliers,New York Knicks,118,82,W,CLE vs. NYK,2008-12-03
0020800266,22008,Orlando Magic,Minnesota Timberwolves,100,89,L,MIN @ ORL,2008-12-03
0020800267,22008,Philadelphia 76ers,Los Angeles Lakers,102,114,W,LAL @ PHI,2008-12-03
0020800268,22008,Washington Wizards,Portland Trail Blazers,92,98,L,WAS vs. POR,2008-12-03
0020800269,22008,Boston Celtics,Indiana Pacers,114,96,W,BOS vs. IND,2008-12-03
0020800270,22008,Milwaukee Bucks,Chicago Bulls,97,90,L,CHI @ MIL,2008-12-03
0020800271,22008,New Orleans Pelicans,Phoenix Suns,104,91,L,PHX @ NOH,2008-12-03
0020800272,22008,Houston Rockets,Los Angeles Clippers,103,96,L,LAC @ HOU,2008-12-03
0020800273,22008,Utah Jazz,Miami Heat,89,93,L,UTA vs. MIA,2008-12-03
0020800274,22008,Dallas Mavericks,Phoenix Suns,112,97,W,DAL vs. PHX,2008-12-04
0020800275,22008,Denver Nuggets,San Antonio Spurs,91,108,W,SAS @ DEN,2008-12-04
0020800276,22008,Orlando Magic,Oklahoma City Thunder,98,89,L,OKC @ ORL,2008-12-05
0020800277,22008,Washington Wizards,Los Angeles Lakers,104,106,L,WAS vs. LAL,2008-12-05
0020800278,22008,Atlanta Hawks,New York Knicks,98,95,L,NYK @ ATL,2008-12-05
0020800279,22008,Cleveland Cavaliers,Indiana Pacers,97,73,W,CLE vs. IND,2008-12-05
0020800280,22008,Brooklyn Nets,Minnesota Timberwolves,113,84,W,NJN vs. MIN,2008-12-05
0020800281,22008,Boston Celtics,Portland Trail Blazers,93,78,W,BOS vs. POR,2008-12-05
0020800282,22008,Detroit Pistons,Philadelphia 76ers,91,96,W,PHI @ DET,2008-12-05
0020800283,22008,Memphis Grizzlies,Los Angeles Clippers,93,81,L,LAC @ MEM,2008-12-05
0020800284,22008,Houston Rockets,Golden State Warriors,131,112,W,HOU vs. GSW,2008-12-05
0020800285,22008,Milwaukee Bucks,Charlotte Hornets,101,96,L,CHA @ MIL,2008-12-05
0020800286,22008,Utah Jazz,Toronto Raptors,114,87,W,UTA vs. TOR,2008-12-05
0020800287,22008,Charlotte Hornets,Cleveland Cavaliers,74,94,L,CHA vs. CLE,2008-12-06
0020800288,22008,Miami Heat,Oklahoma City Thunder,105,99,W,MIA vs. OKC,2008-12-06
0020800289,22008,Philadelphia 76ers,Brooklyn Nets,84,95,W,NJN @ PHI,2008-12-06
0020800290,22008,Minnesota Timberwolves,Los Angeles Clippers,84,107,W,LAC @ MIN,2008-12-06
0020800291,22008,New Orleans Pelicans,Memphis Grizzlies,106,87,W,NOH vs. MEM,2008-12-06
0020800292,22008,Chicago Bulls,Washington Wizards,117,110,W,CHI vs. WAS,2008-12-06
0020800293,22008,Dallas Mavericks,Atlanta Hawks,100,98,W,DAL vs. ATL,2008-12-06
0020800294,22008,San Antonio Spurs,Golden State Warriors,123,88,W,SAS vs. GSW,2008-12-06
0020800295,22008,Phoenix Suns,Utah Jazz,106,104,W,PHX vs. UTA,2008-12-06
0020800296,22008,Sacramento Kings,Denver Nuggets,85,118,W,DEN @ SAC,2008-12-06
0020800297,22008,New York Knicks,Detroit Pistons,104,92,W,NYK vs. DET,2008-12-07
0020800298,22008,Toronto Raptors,Portland Trail Blazers,97,98,W,POR @ TOR,2008-12-07
0020800299,22008,Indiana Pacers,Boston Celtics,117,122,L,IND vs. BOS,2008-12-07
0020800300,22008,Los Angeles Lakers,Milwaukee Bucks,105,92,W,LAL vs. MIL,2008-12-07
0020800301,22008,Miami Heat,Charlotte Hornets,100,96,L,CHA @ MIA,2008-12-08
0020800302,22008,Memphis Grizzlies,Houston Rockets,109,97,W,MEM vs. HOU,2008-12-08
0020800303,22008,Oklahoma City Thunder,Golden State Warriors,102,112,W,GSW @ OKC,2008-12-08
0020800304,22008,Los Angeles Clippers,Orlando Magic,88,95,W,ORL @ LAC,2008-12-08
0020800305,22008,Cleveland Cavaliers,Toronto Raptors,114,94,W,CLE vs. TOR,2008-12-09
0020800306,22008,Washington Wizards,Detroit Pistons,107,94,W,WAS vs. DET,2008-12-09
0020800307,22008,Minnesota Timberwolves,Utah Jazz,96,99,W,UTA @ MIN,2008-12-09
0020800308,22008,Chicago Bulls,New York Knicks,105,100,L,NYK @ CHI,2008-12-09
0020800309,22008,Dallas Mavericks,San Antonio Spurs,126,133,W,SAS @ DAL,2008-12-09
0020800310,22008,Houston Rockets,Atlanta Hawks,92,84,W,HOU vs. ATL,2008-12-09
0020800311,22008,Phoenix Suns,Milwaukee Bucks,125,110,L,MIL @ PHX,2008-12-09
0020800312,22008,Portland Trail Blazers,Orlando Magic,108,109,W,ORL @ POR,2008-12-09
0020800313,22008,Sacramento Kings,Los Angeles Lakers,113,101,L,LAL @ SAC,2008-12-09
0020800314,22008,Toronto Raptors,Indiana Pacers,101,88,W,TOR vs. IND,2008-12-10
0020800315,22008,Brooklyn Nets,New York Knicks,109,121,W,NYK @ NJN,2008-12-10
0020800316,22008,New Orleans Pelicans,Charlotte Hornets,105,89,W,NOH vs. CHA,2008-12-10
0020800317,22008,Oklahoma City Thunder,Memphis Grizzlies,102,108,W,MEM @ OKC,2008-12-10
0020800318,22008,Philadelphia 76ers,Cleveland Cavaliers,93,101,W,CLE @ PHI,2008-12-10
0020800319,22008,San Antonio Spurs,Atlanta Hawks,95,89,L,ATL @ SAS,2008-12-10
