,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612738,BOS,Boston Celtics,0021801100,2019-03-24,BOS vs. SAS,L,241,96,38,94,0.404,7,35,0.2,13,16,0.813,11,34,45,23,4,2,8,14,-19.0
1,22018,1610612738,BOS,Boston Celtics,0021801087,2019-03-23,BOS @ CHA,L,240,117,44,93,0.473,19,43,0.442,10,15,0.667,7,35,42,31,6,8,10,23,-7.0
2,22018,1610612738,BOS,Boston Celtics,0021801067,2019-03-20,BOS @ PHI,L,240,115,45,96,0.469,12,32,0.375,13,16,0.813,10,36,46,22,1,3,8,25,-3.0
3,22018,1610612738,BOS,Boston Celtics,0021801052,2019-03-18,BOS vs. DEN,L,239,105,39,93,0.419,12,39,0.308,15,19,0.789,12,25,37,24,12,5,12,16,-9.0
4,22018,1610612738,BOS,Boston Celtics,0021801034,2019-03-16,BOS vs. ATL,W,240,129,44,93,0.473,13,36,0.361,28,37,0.757,11,35,46,30,10,7,14,21,9.0
5,22018,1610612738,BOS,Boston Celtics,0021801022,2019-03-14,BOS vs. SAC,W,240,126,49,97,0.505,9,28,0.321,19,26,0.731,10,42,52,32,7,2,13,20,6.0
6,22018,1610612738,BOS,Boston Celtics,0021801006,2019-03-11,BOS @ LAC,L,241,115,44,91,0.484,14,36,0.389,13,19,0.684,7,22,29,26,11,4,13,24,-25.0
7,22018,1610612738,BOS,Boston Celtics,0021800989,2019-03-09,BOS @ LAL,W,242,120,48,93,0.516,14,38,0.368,10,14,0.714,6,37,43,32,6,5,13,17,13.0
8,22018,1610612738,BOS,Boston Celtics,0021800973,2019-03-06,BOS @ SAC,W,240,111,40,79,0.506,13,33,0.394,18,21,0.857,3,32,35,26,11,1,17,22,2.0
9,22018,1610612738,BOS,Boston Celtics,0021800964,2019-03-05,BOS @ GSW,W,240,128,49,96,0.51,14,34,0.412,16,17,0.941,9,37,46,38,12,5,11,24,33.0
10,22018,1610612738,BOS,Boston Celtics,0021800945,2019-03-03,BOS vs. HOU,L,240,104,37,77,0.481,8,28,0.286,22,29,0.759,8,36,44,23,7,0,13,23,-11.0
11,22018,1610612738,BOS,Boston Celtics,0021800931,2019-03-01,BOS vs. WAS,W,238,107,42,94,0.447,10,35,0.286,13,17,0.765,11,35,46,26,12,3,12,18,11.0
12,22018,1610612738,BOS,Boston Celtics,0021800913,2019-02-27,BOS vs. POR,L,239,92,40,86,0.465,5,28,0.179,7,10,0.7,8,33,41,20,5,4,16,20,-5.0
13,22018,1610612738,BOS,Boston Celtics,0021800909,2019-02-26,BOS @ TOR,L,240,95,33,86,0.384,6,30,0.2,23,28,0.821,10,37,47,24,6,4,14,20,-23.0
14,22018,1610612738,BOS,Boston Celtics,0021800889,2019-02-23,BOS @ CHI,L,240,116,45,92,0.489,10,29,0.345,16,21,0.762,6,26,32,26,6,7,7,18,-10.0
15,22018,1610612738,BOS,Boston Celtics,0021800870,2019-02-21,BOS @ MIL,L,241,97,39,102,0.382,14,40,0.35,5,6,0.833,12,38,50,19,11,9,7,15,-1.0
16,22018,1610612738,BOS,Boston Celtics,0021800855,2019-02-13,BOS vs. DET,W,240,118,45,88,0.511,16,39,0.41,12,15,0.8,10,37,47,32,8,2,16,22,8.0
17,22018,1610612738,BOS,Boston Celtics,0021800849,2019-02-12,BOS @ PHI,W,239,112,41,88,0.466,13,29,0.448,17,21,0.81,8,33,41,24,9,3,5,23,3.0
18,22018,1610612738,BOS,Boston Celtics,0021800829,2019-02-09,BOS vs. LAC,L,239,112,39,92,0.424,9,26,0.346,25,31,0.806,8,37,45,21,9,3,12,29,-11.0
19,22018,1610612738,BOS,Boston Celtics,0021800814,2019-02-07,BOS vs. LAL,L,238,128,46,94,0.489,16,38,0.421,20,20,1.0,11,37,48,35,7,5,8,16,-1.0
20,22018,1610612738,BOS,Boston Celtics,0021800797,2019-02-05,BOS @ CLE,W,241,103,40,82,0.488,9,26,0.346,14,14,1.0,8,34,42,29,10,10,13,14,7.0
21,22018,1610612738,BOS,Boston Celtics,0021800788,2019-02-03,BOS vs. OKC,W,241,134,54,91,0.593,13,34,0.382,13,17,0.765,5,33,38,36,8,6,14,22,5.0
22,22018,1610612738,BOS,Boston Celtics,0021800771,2019-02-01,BOS @ NYK,W,241,113,46,100,0.46,13,37,0.351,8,10,0.8,11,32,43,25,11,7,7,18,14.0
23,22018,1610612738,BOS,Boston Celtics,0021800756,2019-01-30,BOS vs. CHA,W,241,126,50,90,0.556,12,29,0.414,14,16,0.875,12,41,53,34,10,7,10,14,32.0
24,22018,1610612738,BOS,Boston Celtics,0021800746,2019-01-28,BOS vs. BKN,W,240,112,45,100,0.45,13,40,0.325,9,10,0.9,16,36,52,29,11,16,17,16,8.0
25,22018,1610612738,BOS,Boston Celtics,0021800732,2019-01-26,BOS vs. GSW,L,241,111,41,99,0.414,15,40,0.375,14,15,0.933,15,34,49,23,6,4,14,22,-4.0
26,22018,1610612738,BOS,Boston Celtics,0021800707,2019-01-23,BOS vs. CLE,W,239,123,45,86,0.523,12,25,0.48,21,23,0.913,9,34,43,25,12,5,14,20,20.0
27,22018,1610612738,BOS,Boston Celtics,0021800698,2019-01-21,BOS vs. MIA,W,240,107,43,87,0.494,12,30,0.4,9,10,0.9,8,28,36,26,13,7,19,21,8.0
28,22018,1610612738,BOS,Boston Celtics,0021800683,2019-01-19,BOS @ ATL,W,242,113,39,88,0.443,12,32,0.375,23,25,0.92,11,32,43,19,10,8,15,18,8.0
29,22018,1610612738,BOS,Boston Celtics,0021800671,2019-01-18,BOS vs. MEM,W,240,122,44,86,0.512,17,38,0.447,17,22,0.773,10,42,52,29,5,9,17,20,6.0
30,22018,1610612738,BOS,Boston Celtics,0021800658,2019-01-16,BOS vs. TOR,W,239,117,46,92,0.5,14,30,0.467,11,13,0.846,14,35,49,32,7,6,14,24,9.0
31,22018,1610612738,BOS,Boston Celtics,0021800645,2019-01-14,BOS @ BKN,L,240,102,37,91,0.407,11,36,0.306,17,23,0.739,10,31,41,21,10,8,10,21,-7.0
32,22018,1610612738,BOS,Boston Celtics,0021800632,2019-01-12,BOS @ ORL,L,239,103,38,90,0.422,8,32,0.25,19,28,0.679,10,36,46,19,7,3,8,18,-2.0
33,22018,1610612738,BOS,Boston Celtics,0021800617,2019-01-10,BOS @ MIA,L,242,99,36,89,0.404,12,34,0.353,15,17,0.882,9,28,37,20,5,8,10,10,-16.0
34,22018,1610612738,BOS,Boston Celtics,0021800607,2019-01-09,BOS vs. IND,W,239,135,50,88,0.568,14,32,0.438,21,24,0.875,9,39,48,32,7,7,13,25,27.0
35,22018,1610612738,BOS,Boston Celtics,0021800592,2019-01-07,BOS vs. BKN,W,239,116,47,93,0.505,12,32,0.375,10,12,0.833,6,37,43,37,13,2,13,21,21.0
36,22018,1610612738,BOS,Boston Celtics,0021800566,2019-01-04,BOS vs. DAL,W,239,114,42,96,0.438,21,45,0.467,9,11,0.818,14,39,53,35,12,4,12,16,21.0
37,22018,1610612738,BOS,Boston Celtics,0021800558,2019-01-02,BOS vs. MIN,W,239,115,45,76,0.592,12,30,0.4,13,15,0.867,3,30,33,34,10,9,16,21,13.0
38,22018,1610612738,BOS,Boston Celtics,0021800545,2018-12-31,BOS @ SAS,L,240,111,43,88,0.489,11,34,0.324,14,20,0.7,9,31,40,30,5,8,12,17,-9.0
39,22018,1610612738,BOS,Boston Celtics,0021800531,2018-12-29,BOS @ MEM,W,240,112,40,80,0.5,16,36,0.444,16,18,0.889,7,29,36,29,10,4,17,24,9.0
40,22018,1610612738,BOS,Boston Celtics,0021800512,2018-12-27,BOS @ HOU,L,240,113,38,81,0.469,12,31,0.387,25,31,0.806,6,31,37,28,9,3,11,22,-14.0
41,22018,1610612738,BOS,Boston Celtics,0021800499,2018-12-25,BOS vs. PHI,W,265,121,45,108,0.417,14,41,0.341,17,20,0.85,13,42,55,21,8,4,9,21,7.0
42,22018,1610612738,BOS,Boston Celtics,0021800488,2018-12-23,BOS vs. CHA,W,240,119,43,86,0.5,13,39,0.333,20,25,0.8,11,36,47,30,8,4,14,22,16.0
43,22018,1610612738,BOS,Boston Celtics,0021800473,2018-12-21,BOS vs. MIL,L,241,107,35,91,0.385,10,34,0.294,27,36,0.75,9,27,36,22,13,3,5,16,-13.0
44,22018,1610612738,BOS,Boston Celtics,0021800458,2018-12-19,BOS vs. PHX,L,240,103,38,85,0.447,15,39,0.385,12,14,0.857,9,28,37,26,13,15,16,17,-8.0
45,22018,1610612738,BOS,Boston Celtics,0021800431,2018-12-15,BOS @ DET,L,240,104,39,94,0.415,9,33,0.273,17,23,0.739,12,32,44,19,11,4,14,25,-9.0
46,22018,1610612738,BOS,Boston Celtics,0021800420,2018-12-14,BOS vs. ATL,W,241,129,46,95,0.484,19,39,0.487,18,20,0.9,13,34,47,28,15,9,21,21,21.0
47,22018,1610612738,BOS,Boston Celtics,0021800409,2018-12-12,BOS @ WAS,W,265,130,47,104,0.452,11,38,0.289,25,25,1.0,14,36,50,20,6,2,13,19,5.0
48,22018,1610612738,BOS,Boston Celtics,0021800393,2018-12-10,BOS vs. NOP,W,241,113,44,90,0.489,12,39,0.308,13,19,0.684,14,37,51,23,8,5,13,21,13.0
49,22018,1610612738,BOS,Boston Celtics,0021800383,2018-12-08,BOS @ CHI,W,238,133,50,93,0.538,22,43,0.512,11,15,0.733,13,41,54,34,10,4,7,14,56.0
50,22018,1610612738,BOS,Boston Celtics,0021800365,2018-12-06,BOS vs. NYK,W,240,128,49,92,0.533,13,38,0.342,17,20,0.85,7,39,46,32,8,6,9,24,28.0
51,22018,1610612738,BOS,Boston Celtics,0021800335,2018-12-01,BOS @ MIN,W,241,118,40,85,0.471,17,44,0.386,21,21,1.0,7,33,40,30,9,3,14,25,9.0
52,22018,1610612738,BOS,Boston Celtics,0021800319,2018-11-30,BOS vs. CLE,W,240,128,49,92,0.533,17,31,0.548,13,16,0.813,12,35,47,30,4,4,10,27,33.0
53,22018,1610612738,BOS,Boston Celtics,0021800298,2018-11-26,BOS @ NOP,W,241,124,48,97,0.495,19,39,0.487,9,10,0.9,14,28,42,27,14,4,13,25,17.0
54,22018,1610612738,BOS,Boston Celtics,0021800283,2018-11-24,BOS @ DAL,L,240,104,41,86,0.477,10,28,0.357,12,13,0.923,9,33,42,19,8,3,17,21,-9.0
55,22018,1610612738,BOS,Boston Celtics,0021800268,2018-11-23,BOS @ ATL,W,240,114,42,91,0.462,13,40,0.325,17,21,0.81,7,36,43,31,11,7,16,29,18.0
56,22018,1610612738,BOS,Boston Celtics,0021800255,2018-11-21,BOS vs. NYK,L,241,109,38,97,0.392,10,33,0.303,23,32,0.719,15,35,50,30,10,9,8,16,-8.0
57,22018,1610612738,BOS,Boston Celtics,0021800239,2018-11-19,BOS @ CHA,L,239,112,45,89,0.506,9,32,0.281,13,18,0.722,8,33,41,31,9,6,12,22,-5.0
58,22018,1610612738,BOS,Boston Celtics,0021800229,2018-11-17,BOS vs. UTA,L,240,86,35,91,0.385,5,33,0.152,11,20,0.55,17,34,51,16,11,4,14,22,-12.0
59,22018,1610612738,BOS,Boston Celtics,0021800216,2018-11-16,BOS vs. TOR,W,266,123,47,89,0.528,9,26,0.346,20,24,0.833,9,37,46,25,9,6,18,23,7.0
60,22018,1610612738,BOS,Boston Celtics,0021800204,2018-11-14,BOS vs. CHI,W,241,111,42,90,0.467,15,34,0.441,12,14,0.857,8,43,51,27,12,5,13,12,29.0
61,22018,1610612738,BOS,Boston Celtics,0021800188,2018-11-11,BOS @ POR,L,241,94,36,93,0.387,14,42,0.333,8,10,0.8,11,31,42,19,11,5,12,16,-6.0
62,22018,1610612738,BOS,Boston Celtics,0021800172,2018-11-09,BOS @ UTA,L,240,115,39,88,0.443,17,43,0.395,20,22,0.909,5,23,28,31,11,3,8,20,-8.0
63,22018,1610612738,BOS,Boston Celtics,0021800164,2018-11-08,BOS @ PHX,W,266,116,39,97,0.402,14,37,0.378,24,31,0.774,17,39,56,21,6,6,16,18,7.0
64,22018,1610612738,BOS,Boston Celtics,0021800145,2018-11-05,BOS @ DEN,L,240,107,44,87,0.506,9,31,0.29,10,12,0.833,7,33,40,22,9,9,12,21,-8.0
65,22018,1610612738,BOS,Boston Celtics,0021800127,2018-11-03,BOS @ IND,L,240,101,38,88,0.432,19,46,0.413,6,9,0.667,10,35,45,23,6,8,14,20,-1.0
66,22018,1610612738,BOS,Boston Celtics,0021800115,2018-11-01,BOS vs. MIL,W,240,117,41,92,0.446,24,55,0.436,11,13,0.846,8,34,42,30,5,8,12,23,4.0
67,22018,1610612738,BOS,Boston Celtics,0021800099,2018-10-30,BOS vs. DET,W,239,108,37,84,0.44,9,31,0.29,25,32,0.781,8,38,46,25,8,4,14,20,3.0
68,22018,1610612738,BOS,Boston Celtics,0021800074,2018-10-27,BOS @ DET,W,238,109,39,86,0.453,14,34,0.412,17,25,0.68,8,46,54,25,4,8,13,26,20.0
69,22018,1610612738,BOS,Boston Celtics,0021800065,2018-10-25,BOS @ OKC,W,240,101,33,86,0.384,11,32,0.344,24,33,0.727,10,35,45,19,7,1,11,27,6.0
70,22018,1610612738,BOS,Boston Celtics,0021800040,2018-10-22,BOS vs. ORL,L,238,90,37,91,0.407,9,40,0.225,7,9,0.778,9,42,51,21,6,3,12,15,-3.0
71,22018,1610612738,BOS,Boston Celtics,0021800028,2018-10-20,BOS @ NYK,W,240,103,33,82,0.402,9,25,0.36,28,33,0.848,11,36,47,21,8,2,15,26,2.0
72,22018,1610612738,BOS,Boston Celtics,0021800019,2018-10-19,BOS @ TOR,L,240,101,40,99,0.404,14,36,0.389,7,10,0.7,16,33,49,29,4,6,14,27,-12.0
73,22018,1610612738,BOS,Boston Celtics,0021800001,2018-10-16,BOS vs. PHI,W,240,105,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,14,20,18.0
74,12018,1610612738,BOS,Boston Celtics,0011800040,2018-10-06,BOS @ CLE,L,240,102,35,89,0.393,7,29,0.241,25,33,0.758,13,31,44,21,9,6,14,29,-11.0
75,12018,1610612738,BOS,Boston Celtics,0011800017,2018-10-02,BOS vs. CLE,L,239,95,35,82,0.427,5,31,0.161,20,27,0.741,7,37,44,17,8,7,12,30,-7.0
76,12018,1610612738,BOS,Boston Celtics,0011800008,2018-09-30,BOS vs. CHA,W,239,115,42,95,0.442,13,31,0.419,18,21,0.857,12,38,50,26,8,6,13,27,3.0
77,12018,1610612738,BOS,Boston Celtics,0011800002,2018-09-28,BOS @ CHA,L,238,97,36,104,0.346,9,47,0.191,16,22,0.727,11,45,56,12,9,7,12,35,-7.0
78,22018,1610612738,BOS,Boston Celtics,1521800078,2018-07-15,BOS @ POR,L,200,80,29,73,0.397,11,29,0.379,11,12,0.917,9,22,31,19,5,3,12,19,-9.8
79,22018,1610612738,BOS,Boston Celtics,1521800073,2018-07-14,BOS vs. MIA,W,199,74,29,74,0.392,4,21,0.19,12,22,0.545,15,27,42,15,8,5,9,18,3.6
80,22018,1610612738,BOS,Boston Celtics,1521800055,2018-07-12,BOS vs. NYK,W,201,82,32,75,0.427,6,25,0.24,12,16,0.75,14,27,41,17,7,6,7,19,12.0
81,22018,1610612738,BOS,Boston Celtics,1521800035,2018-07-09,BOS vs. CHA,W,200,100,38,72,0.528,9,18,0.5,15,17,0.882,9,33,42,18,6,5,16,21,18.6
82,22018,1610612738,BOS,Boston Celtics,1521800019,2018-07-07,BOS @ DEN,L,200,69,26,63,0.413,4,18,0.222,13,17,0.765,2,29,31,14,11,4,16,17,-7.8
83,22018,1610612738,BOS,Boston Celtics,1521800006,2018-07-06,BOS @ PHI,W,200,95,36,74,0.486,8,23,0.348,15,20,0.75,11,31,42,18,4,3,10,18,12.6
84,42017,1610612738,BOS,Boston Celtics,0041700307,2018-05-27,BOS vs. CLE,L,240,79,29,85,0.341,7,39,0.179,14,19,0.737,11,31,42,18,6,0,5,20,-8.0
