,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612751,BKN,Brooklyn Nets,0021801086,2019-03-22,BKN @ LAL,W,240,111,37,92,0.402,16,42.0,0.381,21,28,0.75,11.0,36.0,47.0,21,8.0,4.0,13.0,25.0,5.0
1,22018,1610612751,BKN,Brooklyn Nets,0021801063,2019-03-19,BKN @ SAC,W,241,123,47,94,0.5,12,35.0,0.343,17,23,0.739,11.0,30.0,41.0,28,16.0,4.0,18.0,19.0,2.0
2,22018,1610612751,BKN,Brooklyn Nets,0021801049,2019-03-17,BKN @ LAC,L,241,116,42,100,0.42,14,38.0,0.368,18,25,0.72,15.0,36.0,51.0,26,6.0,7.0,14.0,28.0,-3.0
3,22018,1610612751,BKN,Brooklyn Nets,0021801041,2019-03-16,BKN @ UTA,L,241,98,33,95,0.347,12,36.0,0.333,20,22,0.909,8.0,36.0,44.0,20,9.0,5.0,7.0,24.0,-16.0
4,22018,1610612751,BKN,Brooklyn Nets,0021801017,2019-03-13,BKN @ OKC,L,240,96,35,84,0.417,13,35.0,0.371,13,19,0.684,7.0,36.0,43.0,19,7.0,5.0,16.0,18.0,-12.0
5,22018,1610612751,BKN,Brooklyn Nets,0021801003,2019-03-11,BKN vs. DET,W,240,103,39,79,0.494,11,31.0,0.355,14,22,0.636,5.0,48.0,53.0,21,9.0,4.0,17.0,18.0,28.0
6,22018,1610612751,BKN,Brooklyn Nets,0021800987,2019-03-09,BKN @ ATL,W,241,114,33,86,0.384,15,44.0,0.341,33,54,0.611,15.0,39.0,54.0,21,7.0,3.0,14.0,23.0,2.0
7,22018,1610612751,BKN,Brooklyn Nets,0021800969,2019-03-06,BKN vs. CLE,W,239,113,43,91,0.473,12,33.0,0.364,15,26,0.577,11.0,39.0,50.0,21,5.0,7.0,14.0,22.0,6.0
8,22018,1610612751,BKN,Brooklyn Nets,0021800952,2019-03-04,BKN vs. DAL,W,239,127,48,85,0.565,17,41.0,0.415,14,19,0.737,3.0,45.0,48.0,29,8.0,1.0,13.0,23.0,39.0
9,22018,1610612751,BKN,Brooklyn Nets,0021800937,2019-03-02,BKN @ MIA,L,239,88,31,88,0.352,9,42.0,0.214,17,22,0.773,7.0,29.0,36.0,20,6.0,6.0,11.0,14.0,-29.0
10,22018,1610612751,BKN,Brooklyn Nets,0021800929,2019-03-01,BKN vs. CHA,L,240,112,44,86,0.512,10,32.0,0.313,14,18,0.778,7.0,30.0,37.0,27,2.0,5.0,15.0,19.0,-11.0
11,22018,1610612751,BKN,Brooklyn Nets,0021800914,2019-02-27,BKN vs. WAS,L,239,116,39,85,0.459,8,35.0,0.229,30,39,0.769,7.0,34.0,41.0,20,7.0,3.0,16.0,27.0,-9.0
12,22018,1610612751,BKN,Brooklyn Nets,0021800900,2019-02-25,BKN vs. SAS,W,240,101,35,81,0.432,19,50.0,0.38,12,16,0.75,6.0,45.0,51.0,24,5.0,5.0,15.0,15.0,16.0
13,22018,1610612751,BKN,Brooklyn Nets,0021800884,2019-02-23,BKN @ CHA,W,241,117,40,87,0.46,17,43.0,0.395,20,26,0.769,11.0,31.0,42.0,23,5.0,6.0,12.0,26.0,2.0
14,22018,1610612751,BKN,Brooklyn Nets,0021800869,2019-02-21,BKN vs. POR,L,241,99,36,92,0.391,7,36.0,0.194,20,26,0.769,12.0,37.0,49.0,26,4.0,2.0,12.0,19.0,-14.0
15,22018,1610612751,BKN,Brooklyn Nets,0021800853,2019-02-13,BKN @ CLE,W,315,148,52,113,0.46,18,45.0,0.4,26,34,0.765,16.0,44.0,60.0,31,4.0,13.0,18.0,23.0,9.0
16,22018,1610612751,BKN,Brooklyn Nets,0021800842,2019-02-11,BKN @ TOR,L,241,125,46,88,0.523,20,41.0,0.488,13,18,0.722,5.0,26.0,31.0,33,6.0,3.0,14.0,18.0,-2.0
17,22018,1610612751,BKN,Brooklyn Nets,0021800820,2019-02-08,BKN vs. CHI,L,239,106,39,94,0.415,13,41.0,0.317,15,16,0.938,6.0,27.0,33.0,26,9.0,1.0,11.0,21.0,-19.0
18,22018,1610612751,BKN,Brooklyn Nets,0021800804,2019-02-06,BKN vs. DEN,W,240,135,46,90,0.511,19,34.0,0.559,24,33,0.727,5.0,35.0,40.0,36,9.0,5.0,13.0,22.0,5.0
19,22018,1610612751,BKN,Brooklyn Nets,0021800792,2019-02-04,BKN vs. MIL,L,240,94,33,102,0.324,5,42.0,0.119,23,28,0.821,16.0,40.0,56.0,23,5.0,9.0,13.0,21.0,-19.0
20,22018,1610612751,BKN,Brooklyn Nets,0021800777,2019-02-02,BKN @ ORL,L,241,89,33,91,0.363,10,38.0,0.263,13,16,0.813,8.0,42.0,50.0,23,6.0,2.0,18.0,11.0,-13.0
21,22018,1610612751,BKN,Brooklyn Nets,0021800767,2019-01-31,BKN @ SAS,L,239,114,42,89,0.472,11,34.0,0.324,19,29,0.655,5.0,41.0,46.0,30,5.0,7.0,14.0,23.0,-3.0
22,22018,1610612751,BKN,Brooklyn Nets,0021800752,2019-01-29,BKN vs. CHI,W,239,122,42,94,0.447,10,35.0,0.286,28,40,0.7,7.0,36.0,43.0,25,11.0,2.0,8.0,21.0,5.0
23,22018,1610612751,BKN,Brooklyn Nets,0021800746,2019-01-28,BKN @ BOS,L,239,104,39,103,0.379,13,34.0,0.382,13,16,0.813,16.0,32.0,48.0,20,10.0,5.0,17.0,20.0,-8.0
24,22018,1610612751,BKN,Brooklyn Nets,0021800721,2019-01-25,BKN vs. NYK,W,241,109,34,84,0.405,9,33.0,0.273,32,47,0.681,18.0,42.0,60.0,19,5.0,2.0,19.0,21.0,10.0
25,22018,1610612751,BKN,Brooklyn Nets,0021800708,2019-01-23,BKN vs. ORL,W,239,114,43,90,0.478,10,32.0,0.313,18,23,0.783,12.0,33.0,45.0,20,7.0,2.0,16.0,22.0,4.0
26,22018,1610612751,BKN,Brooklyn Nets,0021800696,2019-01-21,BKN vs. SAC,W,240,123,45,90,0.5,13,35.0,0.371,20,24,0.833,12.0,44.0,56.0,25,9.0,4.0,16.0,15.0,29.0
27,22018,1610612751,BKN,Brooklyn Nets,0021800673,2019-01-18,BKN @ ORL,W,240,117,44,97,0.454,19,46.0,0.413,10,15,0.667,9.0,32.0,41.0,24,5.0,5.0,11.0,19.0,2.0
