,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612742,DAL,Dallas Mavericks,0021801092,2019-03-23,DAL @ GSW,W,242,126,44,83,0.53,21,49,0.429,17,22,0.773,8,41,49,33,7,2,9,22,35.0
1,22018,1610612742,DAL,Dallas Mavericks,0021801078,2019-03-21,DAL @ SAC,L,241,100,36,92,0.391,12,40,0.3,16,23,0.696,9,34,43,23,5,6,7,22,-16.0
2,22018,1610612742,DAL,Dallas Mavericks,0021801073,2019-03-20,DAL @ POR,L,240,118,43,87,0.494,10,30,0.333,22,25,0.88,6,29,35,20,8,6,11,22,-8.0
3,22018,1610612742,DAL,Dallas Mavericks,0021801056,2019-03-18,DAL vs. NOP,L,266,125,46,105,0.438,9,35,0.257,24,29,0.828,14,36,50,27,9,6,15,26,-4.0
4,22018,1610612742,DAL,Dallas Mavericks,0021801037,2019-03-16,DAL vs. CLE,W,240,121,46,89,0.517,16,34,0.471,13,16,0.813,9,31,40,32,3,5,5,22,5.0
5,22018,1610612742,DAL,Dallas Mavericks,0021801025,2019-03-14,DAL @ DEN,L,239,99,37,87,0.425,12,37,0.324,13,17,0.765,9,31,40,22,8,1,8,17,-1.0
6,22018,1610612742,DAL,Dallas Mavericks,0021801011,2019-03-12,DAL vs. SAS,L,241,105,38,82,0.463,14,39,0.359,15,26,0.577,9,29,38,22,1,2,14,16,-7.0
7,22018,1610612742,DAL,Dallas Mavericks,0021800997,2019-03-10,DAL vs. HOU,L,239,93,31,75,0.413,9,32,0.281,22,27,0.815,10,41,51,24,6,9,16,20,-1.0
8,22018,1610612742,DAL,Dallas Mavericks,0021800978,2019-03-08,DAL @ ORL,L,241,106,42,89,0.472,10,34,0.294,12,16,0.75,10,32,42,22,6,3,14,15,-5.0
9,22018,1610612742,DAL,Dallas Mavericks,0021800967,2019-03-06,DAL @ WAS,L,240,123,45,93,0.484,15,41,0.366,18,28,0.643,14,25,39,27,7,2,7,19,-9.0
10,22018,1610612742,DAL,Dallas Mavericks,0021800952,2019-03-04,DAL @ BKN,L,240,88,31,87,0.356,12,45,0.267,14,22,0.636,5,31,36,20,4,3,13,19,-39.0
11,22018,1610612742,DAL,Dallas Mavericks,0021800939,2019-03-02,DAL vs. MEM,L,240,81,26,85,0.306,7,40,0.175,22,33,0.667,13,30,43,17,9,5,10,23,-30.0
12,22018,1610612742,DAL,Dallas Mavericks,0021800918,2019-02-27,DAL vs. IND,W,241,110,40,81,0.494,16,37,0.432,14,23,0.609,10,32,42,27,11,1,15,22,9.0
13,22018,1610612742,DAL,Dallas Mavericks,0021800907,2019-02-25,DAL @ LAC,L,240,112,37,76,0.487,14,36,0.389,24,27,0.889,7,38,45,28,3,9,17,20,-9.0
14,22018,1610612742,DAL,Dallas Mavericks,0021800893,2019-02-23,DAL @ UTA,L,239,109,41,97,0.423,13,36,0.361,14,18,0.778,8,34,42,25,2,3,3,28,-16.0
15,22018,1610612742,DAL,Dallas Mavericks,0021800880,2019-02-22,DAL vs. DEN,L,240,104,34,84,0.405,10,41,0.244,26,33,0.788,7,35,42,19,7,2,15,21,-10.0
16,22018,1610612742,DAL,Dallas Mavericks,0021800859,2019-02-13,DAL vs. MIA,L,240,101,34,88,0.386,15,52,0.288,18,22,0.818,10,28,38,24,10,0,12,17,-11.0
17,22018,1610612742,DAL,Dallas Mavericks,0021800844,2019-02-11,DAL @ HOU,L,240,104,35,73,0.479,13,36,0.361,21,27,0.778,3,30,33,21,5,1,18,17,-16.0
18,22018,1610612742,DAL,Dallas Mavericks,0021800834,2019-02-10,DAL vs. POR,W,241,102,36,87,0.414,12,37,0.324,18,23,0.783,11,28,39,20,6,3,15,20,1.0
19,22018,1610612742,DAL,Dallas Mavericks,0021800821,2019-02-08,DAL vs. MIL,L,241,107,36,87,0.414,22,53,0.415,13,20,0.65,9,28,37,23,6,5,14,15,-15.0
20,22018,1610612742,DAL,Dallas Mavericks,0021800807,2019-02-06,DAL vs. CHA,W,240,99,38,94,0.404,11,36,0.306,12,17,0.706,15,42,57,25,8,5,13,12,6.0
21,22018,1610612742,DAL,Dallas Mavericks,0021800780,2019-02-02,DAL @ CLE,W,240,111,40,84,0.476,16,39,0.41,15,19,0.789,9,41,50,20,2,4,13,26,13.0
22,22018,1610612742,DAL,Dallas Mavericks,0021800764,2019-01-31,DAL @ DET,L,241,89,36,88,0.409,7,25,0.28,10,14,0.714,11,33,44,18,2,5,10,21,-4.0
23,22018,1610612742,DAL,Dallas Mavericks,0021800758,2019-01-30,DAL @ NYK,W,241,114,45,84,0.536,15,38,0.395,9,11,0.818,7,42,49,31,4,1,18,19,24.0
24,22018,1610612742,DAL,Dallas Mavericks,0021800739,2019-01-27,DAL vs. TOR,L,239,120,43,88,0.489,11,36,0.306,23,34,0.676,7,36,43,25,5,2,11,29,-3.0
25,22018,1610612742,DAL,Dallas Mavericks,0021800726,2019-01-25,DAL vs. DET,W,240,106,37,81,0.457,14,36,0.389,18,30,0.6,9,34,43,24,8,6,9,25,5.0
26,22018,1610612742,DAL,Dallas Mavericks,0021800704,2019-01-22,DAL vs. LAC,W,240,106,38,81,0.469,10,34,0.294,20,29,0.69,9,39,48,21,5,6,11,25,8.0
27,22018,1610612742,DAL,Dallas Mavericks,0021800694,2019-01-21,DAL @ MIL,L,240,106,41,99,0.414,14,40,0.35,10,17,0.588,11,37,48,24,7,11,11,19,-10.0
28,22018,1610612742,DAL,Dallas Mavericks,0021800681,2019-01-19,DAL @ IND,L,239,99,37,88,0.42,9,37,0.243,16,20,0.8,14,30,44,21,5,4,13,18,-12.0
29,22018,1610612742,DAL,Dallas Mavericks,0021800661,2019-01-16,DAL vs. SAS,L,240,101,37,86,0.43,15,42,0.357,12,16,0.75,13,29,42,22,6,3,13,14,-4.0
