,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612765,DET,Detroit Pistons,0021801101,2019-03-24,DET @ GSW,,204,103,36,73,0.493,11,27,0.407,20,20,1.0,7.0,16.0,23.0,25,5,0,6,12,-20.0
1,22018,1610612765,DET,Detroit Pistons,0021801093,2019-03-23,DET @ POR,L,240,112,42,84,0.5,14,34,0.412,14,14,1.0,6.0,23.0,29.0,24,9,3,7,21,-5.0
2,22018,1610612765,DET,Detroit Pistons,0021801077,2019-03-21,DET @ PHX,W,240,118,38,90,0.422,17,42,0.405,25,34,0.735,19.0,27.0,46.0,23,11,6,13,26,20.0
3,22018,1610612765,DET,Detroit Pistons,0021801050,2019-03-18,DET @ CLE,L,239,119,42,94,0.447,18,44,0.409,17,21,0.81,19.0,28.0,47.0,24,6,4,11,21,-7.0
4,22018,1610612765,DET,Detroit Pistons,0021801044,2019-03-17,DET vs. TOR,W,240,110,39,83,0.47,8,27,0.296,24,27,0.889,11.0,33.0,44.0,23,8,3,10,18,3.0
5,22018,1610612765,DET,Detroit Pistons,0021801026,2019-03-15,DET vs. LAL,W,240,111,37,86,0.43,17,39,0.436,20,32,0.625,16.0,34.0,50.0,26,5,4,14,19,14.0
6,22018,1610612765,DET,Detroit Pistons,0021801014,2019-03-13,DET @ MIA,L,242,74,27,77,0.351,8,37,0.216,12,18,0.667,10.0,27.0,37.0,20,7,7,17,23,-34.0
7,22018,1610612765,DET,Detroit Pistons,0021801003,2019-03-11,DET @ BKN,L,238,75,27,97,0.278,8,34,0.235,13,16,0.813,17.0,32.0,49.0,16,7,3,12,22,-28.0
8,22018,1610612765,DET,Detroit Pistons,0021800992,2019-03-10,DET vs. CHI,W,240,131,49,91,0.538,19,35,0.543,14,22,0.636,10.0,34.0,44.0,34,5,1,7,24,23.0
9,22018,1610612765,DET,Detroit Pistons,0021800980,2019-03-08,DET @ CHI,W,240,112,45,83,0.542,9,27,0.333,13,21,0.619,7.0,34.0,41.0,23,5,9,15,19,8.0
10,22018,1610612765,DET,Detroit Pistons,0021800966,2019-03-06,DET vs. MIN,W,239,131,50,93,0.538,14,33,0.424,17,22,0.773,11.0,31.0,42.0,29,5,3,5,19,17.0
11,22018,1610612765,DET,Detroit Pistons,0021800949,2019-03-03,DET vs. TOR,W,264,112,40,86,0.465,12,33,0.364,20,29,0.69,8.0,38.0,46.0,25,10,3,15,24,5.0
12,22018,1610612765,DET,Detroit Pistons,0021800935,2019-03-02,DET @ CLE,W,239,129,47,87,0.54,20,37,0.541,15,17,0.882,9.0,42.0,51.0,27,5,8,9,24,36.0
13,22018,1610612765,DET,Detroit Pistons,0021800917,2019-02-27,DET @ SAS,L,241,93,36,100,0.36,15,38,0.395,6,7,0.857,8.0,33.0,41.0,19,6,3,5,14,-12.0
14,22018,1610612765,DET,Detroit Pistons,0021800899,2019-02-25,DET vs. IND,W,241,113,39,88,0.443,18,41,0.439,17,26,0.654,15.0,32.0,47.0,28,8,4,12,20,4.0
15,22018,1610612765,DET,Detroit Pistons,0021800888,2019-02-23,DET @ MIA,W,239,119,42,80,0.525,14,33,0.424,21,26,0.808,7.0,34.0,41.0,21,6,5,14,24,23.0
16,22018,1610612765,DET,Detroit Pistons,0021800877,2019-02-22,DET @ ATL,W,239,125,46,95,0.484,15,40,0.375,18,28,0.643,10.0,34.0,44.0,20,11,4,8,21,3.0
17,22018,1610612765,DET,Detroit Pistons,0021800855,2019-02-13,DET @ BOS,L,241,110,36,84,0.429,13,40,0.325,25,34,0.735,10.0,31.0,41.0,19,7,1,11,18,-8.0
18,22018,1610612765,DET,Detroit Pistons,0021800840,2019-02-11,DET vs. WAS,W,241,121,44,85,0.518,15,36,0.417,18,21,0.857,10.0,38.0,48.0,25,6,2,16,21,9.0
19,22018,1610612765,DET,Detroit Pistons,0021800817,2019-02-08,DET vs. NYK,W,241,120,42,86,0.488,13,30,0.433,23,29,0.793,11.0,35.0,46.0,24,3,6,12,27,17.0
20,22018,1610612765,DET,Detroit Pistons,0021800799,2019-02-05,DET @ NYK,W,240,105,37,79,0.468,12,34,0.353,19,24,0.792,6.0,35.0,41.0,22,4,7,9,21,13.0
21,22018,1610612765,DET,Detroit Pistons,0021800790,2019-02-04,DET vs. DEN,W,240,129,48,88,0.545,16,37,0.432,17,20,0.85,16.0,37.0,53.0,32,8,8,20,20,26.0
22,22018,1610612765,DET,Detroit Pistons,0021800775,2019-02-02,DET vs. LAC,L,241,101,35,83,0.422,17,42,0.405,14,20,0.7,7.0,31.0,38.0,21,6,4,14,27,-10.0
23,22018,1610612765,DET,Detroit Pistons,0021800764,2019-01-31,DET vs. DAL,W,239,93,33,86,0.384,9,33,0.273,18,23,0.783,15.0,37.0,52.0,21,5,5,11,24,4.0
24,22018,1610612765,DET,Detroit Pistons,0021800750,2019-01-29,DET vs. MIL,L,239,105,42,89,0.472,12,37,0.324,9,12,0.75,10.0,29.0,39.0,29,8,3,11,14,-10.0
25,22018,1610612765,DET,Detroit Pistons,0021800726,2019-01-25,DET @ DAL,L,240,101,35,85,0.412,12,38,0.316,19,25,0.76,13.0,33.0,46.0,22,6,0,12,26,-5.0
26,22018,1610612765,DET,Detroit Pistons,0021800714,2019-01-23,DET @ NOP,W,239,98,36,89,0.404,13,39,0.333,13,19,0.684,9.0,40.0,49.0,24,5,3,9,15,4.0
27,22018,1610612765,DET,Detroit Pistons,0021800693,2019-01-21,DET @ WAS,L,240,87,31,77,0.403,11,34,0.324,14,18,0.778,2.0,38.0,40.0,22,5,3,17,21,-14.0
28,22018,1610612765,DET,Detroit Pistons,0021800680,2019-01-19,DET vs. SAC,L,240,101,36,82,0.439,10,29,0.345,19,25,0.76,13.0,33.0,46.0,21,6,2,14,23,-2.0
29,22018,1610612765,DET,Detroit Pistons,0021800672,2019-01-18,DET vs. MIA,W,240,98,35,82,0.427,13,33,0.394,15,18,0.833,8.0,34.0,42.0,23,7,2,11,20,5.0
30,22018,1610612765,DET,Detroit Pistons,0021800657,2019-01-16,DET vs. ORL,W,266,120,44,92,0.478,12,30,0.4,20,25,0.8,14.0,33.0,47.0,26,4,4,10,16,5.0
31,22018,1610612765,DET,Detroit Pistons,0021800648,2019-01-14,DET @ UTA,L,239,94,35,90,0.389,11,36,0.306,13,16,0.813,5.0,33.0,38.0,16,13,4,9,27,-6.0
32,22018,1610612765,DET,Detroit Pistons,0021800630,2019-01-12,DET @ LAC,W,240,109,37,85,0.435,16,37,0.432,19,22,0.864,14.0,34.0,48.0,20,12,5,16,26,5.0
