,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612744,GSW,Golden State Warriors,0021801101,2019-03-24,GSW vs. DET,,228,115,44,69,0.638,12,22.0,0.545,15,17,0.882,8.0,26.0,34.0,29,3.0,4,12.0,18,18.8
1,22018,1610612744,GSW,Golden State Warriors,0021801092,2019-03-23,GSW vs. DAL,L,241,91,36,90,0.4,4,30.0,0.133,15,21,0.714,8.0,28.0,36.0,22,6.0,2,10.0,22,-35.0
2,22018,1610612744,GSW,Golden State Warriors,0021801079,2019-03-21,GSW vs. IND,W,240,112,44,89,0.494,13,36.0,0.361,11,16,0.688,10.0,40.0,50.0,32,6.0,8,15.0,19,23.0
3,22018,1610612744,GSW,Golden State Warriors,0021801062,2019-03-19,GSW @ MIN,W,240,117,44,91,0.484,19,42.0,0.452,10,14,0.714,8.0,38.0,46.0,39,6.0,7,13.0,25,10.0
4,22018,1610612744,GSW,Golden State Warriors,0021801055,2019-03-18,GSW @ SAS,L,241,105,41,88,0.466,13,39.0,0.333,10,12,0.833,7.0,36.0,43.0,27,7.0,6,13.0,20,-6.0
5,22018,1610612744,GSW,Golden State Warriors,0021801038,2019-03-16,GSW @ OKC,W,238,110,39,83,0.47,15,35.0,0.429,17,22,0.773,8.0,45.0,53.0,25,10.0,6,16.0,22,22.0
6,22018,1610612744,GSW,Golden State Warriors,0021801018,2019-03-13,GSW @ HOU,W,240,106,42,85,0.494,12,32.0,0.375,10,10,1.0,12.0,32.0,44.0,28,7.0,2,14.0,20,2.0
7,22018,1610612744,GSW,Golden State Warriors,0021801000,2019-03-10,GSW vs. PHX,L,240,111,42,95,0.442,10,43.0,0.233,17,22,0.773,15.0,34.0,49.0,34,10.0,6,17.0,24,-4.0
8,22018,1610612744,GSW,Golden State Warriors,0021800984,2019-03-08,GSW vs. DEN,W,239,122,45,84,0.536,18,35.0,0.514,14,21,0.667,7.0,36.0,43.0,32,11.0,10,17.0,28,17.0
9,22018,1610612744,GSW,Golden State Warriors,0021800964,2019-03-05,GSW vs. BOS,L,240,95,34,85,0.4,8,35.0,0.229,19,23,0.826,9.0,36.0,45.0,26,5.0,2,21.0,24,-33.0
10,22018,1610612744,GSW,Golden State Warriors,0021800938,2019-03-02,GSW @ PHI,W,240,120,41,81,0.506,14,33.0,0.424,24,34,0.706,4.0,35.0,39.0,23,14.0,7,13.0,22,3.0
11,22018,1610612744,GSW,Golden State Warriors,0021800923,2019-02-28,GSW @ ORL,L,242,96,39,97,0.402,9,40.0,0.225,9,10,0.9,9.0,38.0,47.0,16,5.0,3,12.0,14,-7.0
12,22018,1610612744,GSW,Golden State Warriors,0021800915,2019-02-27,GSW @ MIA,L,240,125,44,89,0.494,17,48.0,0.354,20,28,0.714,8.0,29.0,37.0,21,7.0,3,8.0,21,-1.0
13,22018,1610612744,GSW,Golden State Warriors,0021800897,2019-02-25,GSW @ CHA,W,239,121,48,95,0.505,14,41.0,0.341,11,13,0.846,13.0,36.0,49.0,35,9.0,8,15.0,18,11.0
14,22018,1610612744,GSW,Golden State Warriors,0021800892,2019-02-23,GSW vs. HOU,L,240,112,42,90,0.467,14,36.0,0.389,14,20,0.7,9.0,36.0,45.0,26,9.0,10,17.0,19,-6.0
15,22018,1610612744,GSW,Golden State Warriors,0021800871,2019-02-21,GSW vs. SAC,W,241,125,43,94,0.457,19,46.0,0.413,20,24,0.833,8.0,41.0,49.0,32,5.0,11,15.0,26,2.0
16,22018,1610612744,GSW,Golden State Warriors,0021800862,2019-02-13,GSW @ POR,L,240,107,39,97,0.402,13,38.0,0.342,16,18,0.889,18.0,31.0,49.0,26,1.0,9,8.0,26,-22.0
17,22018,1610612744,GSW,Golden State Warriors,0021800852,2019-02-12,GSW vs. UTA,W,239,115,44,89,0.494,13,41.0,0.317,14,21,0.667,5.0,35.0,40.0,29,12.0,7,6.0,20,7.0
18,22018,1610612744,GSW,Golden State Warriors,0021800838,2019-02-10,GSW vs. MIA,W,240,120,44,82,0.537,13,36.0,0.361,19,26,0.731,7.0,29.0,36.0,28,8.0,5,12.0,16,2.0
19,22018,1610612744,GSW,Golden State Warriors,0021800822,2019-02-08,GSW @ PHX,W,241,117,41,81,0.506,10,29.0,0.345,25,35,0.714,9.0,40.0,49.0,30,5.0,9,18.0,23,10.0
20,22018,1610612744,GSW,Golden State Warriors,0021800810,2019-02-06,GSW vs. SAS,W,242,141,55,95,0.579,16,34.0,0.471,15,21,0.714,14.0,38.0,52.0,42,14.0,5,11.0,20,39.0
21,22018,1610612744,GSW,Golden State Warriors,0021800782,2019-02-02,GSW vs. LAL,W,241,115,43,91,0.473,11,34.0,0.324,18,19,0.947,7.0,37.0,44.0,31,4.0,9,10.0,17,14.0
22,22018,1610612744,GSW,Golden State Warriors,0021800768,2019-01-31,GSW vs. PHI,L,240,104,41,88,0.466,11,38.0,0.289,11,16,0.688,9.0,28.0,37.0,30,13.0,7,15.0,19,-9.0
23,22018,1610612744,GSW,Golden State Warriors,0021800745,2019-01-28,GSW @ IND,W,240,132,53,98,0.541,13,31.0,0.419,13,16,0.813,13.0,35.0,48.0,39,9.0,7,12.0,19,32.0
24,22018,1610612744,GSW,Golden State Warriors,0021800732,2019-01-26,GSW @ BOS,W,240,115,37,83,0.446,12,33.0,0.364,29,34,0.853,11.0,42.0,53.0,25,8.0,7,14.0,19,4.0
25,22018,1610612744,GSW,Golden State Warriors,0021800716,2019-01-24,GSW @ WAS,W,239,126,50,88,0.568,7,20.0,0.35,19,21,0.905,8.0,42.0,50.0,34,5.0,6,15.0,21,8.0
26,22018,1610612744,GSW,Golden State Warriors,0021800701,2019-01-21,GSW @ LAL,W,239,130,50,98,0.51,16,37.0,0.432,14,19,0.737,13.0,37.0,50.0,41,8.0,6,10.0,27,19.0
27,22018,1610612744,GSW,Golden State Warriors,0021800676,2019-01-18,GSW @ LAC,W,239,112,42,86,0.488,9,37.0,0.243,19,27,0.704,3.0,40.0,43.0,31,11.0,8,10.0,24,18.0
28,22018,1610612744,GSW,Golden State Warriors,0021800663,2019-01-16,GSW vs. NOP,W,239,147,49,102,0.48,24,49.0,0.49,25,31,0.806,10.0,47.0,57.0,33,8.0,5,10.0,24,7.0
29,22018,1610612744,GSW,Golden State Warriors,0021800655,2019-01-15,GSW @ DEN,W,241,142,57,95,0.6,21,39.0,0.538,7,10,0.7,12.0,38.0,50.0,38,6.0,4,10.0,20,31.0
30,22018,1610612744,GSW,Golden State Warriors,0021800642,2019-01-13,GSW @ DAL,W,240,119,45,99,0.455,19,45.0,0.422,10,12,0.833,16.0,33.0,49.0,26,9.0,8,10.0,22,5.0
31,22018,1610612744,GSW,Golden State Warriors,0021800629,2019-01-11,GSW vs. CHI,W,240,146,53,92,0.576,18,39.0,0.462,22,26,0.846,11.0,38.0,49.0,38,6.0,8,12.0,27,37.0
32,22018,1610612744,GSW,Golden State Warriors,0021800605,2019-01-08,GSW vs. NYK,W,240,122,49,96,0.51,14,45.0,0.311,10,12,0.833,15.0,34.0,49.0,36,9.0,10,15.0,14,27.0
33,22018,1610612744,GSW,Golden State Warriors,0021800583,2019-01-05,GSW @ SAC,W,242,127,47,93,0.505,21,47.0,0.447,12,14,0.857,12.0,35.0,47.0,29,5.0,8,13.0,16,4.0
34,22018,1610612744,GSW,Golden State Warriors,0021800565,2019-01-03,GSW vs. HOU,L,264,134,53,102,0.52,14,37.0,0.378,14,15,0.933,9.0,38.0,47.0,33,8.0,6,14.0,19,-1.0
35,22018,1610612744,GSW,Golden State Warriors,0021800548,2018-12-31,GSW @ PHX,W,242,132,46,84,0.548,14,28.0,0.5,26,32,0.813,7.0,37.0,44.0,31,7.0,8,15.0,24,23.0
36,22018,1610612744,GSW,Golden State Warriors,0021800534,2018-12-29,GSW @ POR,W,239,115,40,80,0.5,12,25.0,0.48,23,28,0.821,5.0,37.0,42.0,27,9.0,4,12.0,18,10.0
37,22018,1610612744,GSW,Golden State Warriors,0021800516,2018-12-27,GSW vs. POR,L,267,109,45,106,0.425,13,44.0,0.295,6,15,0.4,14.0,45.0,59.0,36,10.0,9,15.0,19,-1.0
38,22018,1610612744,GSW,Golden State Warriors,0021800500,2018-12-25,GSW vs. LAL,L,241,101,38,93,0.409,9,36.0,0.25,16,21,0.762,7.0,30.0,37.0,28,5.0,1,13.0,21,-26.0
39,22018,1610612744,GSW,Golden State Warriors,0021800494,2018-12-23,GSW vs. LAC,W,240,129,42,93,0.452,14,40.0,0.35,31,36,0.861,15.0,31.0,46.0,22,9.0,7,7.0,27,2.0
40,22018,1610612744,GSW,Golden State Warriors,0021800484,2018-12-22,GSW vs. DAL,W,239,120,45,98,0.459,15,43.0,0.349,15,16,0.938,15.0,39.0,54.0,34,7.0,7,13.0,23,4.0
41,22018,1610612744,GSW,Golden State Warriors,0021800464,2018-12-19,GSW @ UTA,L,240,103,38,95,0.4,10,31.0,0.323,17,18,0.944,10.0,38.0,48.0,18,10.0,9,12.0,21,-5.0
