,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612754,IND,Indiana Pacers,0021801097,2019-03-24,IND vs. DEN,W,240,124,51,91,0.56,8,18,0.444,14,17,0.824,10.0,39.0,49.0,34,9,5,11,17,36.0
1,22018,1610612754,IND,Indiana Pacers,0021801079,2019-03-21,IND @ GSW,L,241,89,35,91,0.385,6,23,0.261,13,17,0.765,12.0,35.0,47.0,17,7,3,15,18,-23.0
2,22018,1610612754,IND,Indiana Pacers,0021801064,2019-03-19,IND @ LAC,L,241,109,45,87,0.517,7,21,0.333,12,17,0.706,11.0,35.0,46.0,30,8,6,20,20,-6.0
3,22018,1610612754,IND,Indiana Pacers,0021801058,2019-03-18,IND @ POR,L,240,98,35,83,0.422,10,24,0.417,18,22,0.818,12.0,27.0,39.0,25,12,3,13,21,-8.0
4,22018,1610612754,IND,Indiana Pacers,0021801040,2019-03-16,IND @ DEN,L,239,100,34,75,0.453,6,24,0.25,26,37,0.703,8.0,33.0,41.0,20,6,2,9,19,-2.0
5,22018,1610612754,IND,Indiana Pacers,0021801020,2019-03-14,IND vs. OKC,W,241,108,37,82,0.451,7,22,0.318,27,32,0.844,6.0,33.0,39.0,24,11,3,16,17,2.0
6,22018,1610612754,IND,Indiana Pacers,0021801007,2019-03-12,IND vs. NYK,W,239,103,37,85,0.435,8,28,0.286,21,29,0.724,8.0,34.0,42.0,26,11,3,10,22,5.0
7,22018,1610612754,IND,Indiana Pacers,0021800994,2019-03-10,IND @ PHI,L,239,89,31,83,0.373,5,16,0.313,22,37,0.595,12.0,32.0,44.0,18,8,4,14,27,-17.0
8,22018,1610612754,IND,Indiana Pacers,0021800975,2019-03-07,IND @ MIL,L,239,98,35,90,0.389,14,37,0.378,14,20,0.7,6.0,34.0,40.0,26,10,7,10,16,-19.0
9,22018,1610612754,IND,Indiana Pacers,0021800959,2019-03-05,IND vs. CHI,W,241,105,38,84,0.452,11,25,0.44,18,24,0.75,11.0,39.0,50.0,19,6,9,12,22,9.0
10,22018,1610612754,IND,Indiana Pacers,0021800936,2019-03-02,IND vs. ORL,L,240,112,42,77,0.545,7,27,0.259,21,24,0.875,3.0,33.0,36.0,31,5,6,11,17,-5.0
11,22018,1610612754,IND,Indiana Pacers,0021800922,2019-02-28,IND vs. MIN,W,240,122,40,84,0.476,16,27,0.593,26,31,0.839,8.0,27.0,35.0,35,8,11,11,21,7.0
12,22018,1610612754,IND,Indiana Pacers,0021800918,2019-02-27,IND @ DAL,L,242,101,37,77,0.481,10,28,0.357,17,21,0.81,6.0,32.0,38.0,19,10,3,14,23,-9.0
13,22018,1610612754,IND,Indiana Pacers,0021800899,2019-02-25,IND @ DET,L,240,109,40,87,0.46,10,26,0.385,19,21,0.905,12.0,30.0,42.0,23,8,8,11,23,-4.0
14,22018,1610612754,IND,Indiana Pacers,0021800886,2019-02-23,IND @ WAS,W,240,119,47,83,0.566,11,25,0.44,14,22,0.636,12.0,29.0,41.0,29,13,0,23,21,7.0
15,22018,1610612754,IND,Indiana Pacers,0021800874,2019-02-22,IND vs. NOP,W,240,126,44,93,0.473,14,32,0.438,24,35,0.686,13.0,35.0,48.0,28,10,5,11,24,15.0
16,22018,1610612754,IND,Indiana Pacers,0021800854,2019-02-13,IND vs. MIL,L,240,97,37,88,0.42,10,27,0.37,13,15,0.867,4.0,39.0,43.0,22,6,4,11,23,-9.0
17,22018,1610612754,IND,Indiana Pacers,0021800841,2019-02-11,IND vs. CHA,W,240,99,38,74,0.514,8,25,0.32,15,17,0.882,5.0,34.0,39.0,25,3,3,12,22,9.0
18,22018,1610612754,IND,Indiana Pacers,0021800826,2019-02-09,IND vs. CLE,W,240,105,45,84,0.536,9,26,0.346,6,10,0.6,6.0,37.0,43.0,31,8,5,9,13,15.0
19,22018,1610612754,IND,Indiana Pacers,0021800811,2019-02-07,IND vs. LAC,W,239,116,49,87,0.563,9,22,0.409,9,11,0.818,7.0,35.0,42.0,26,15,12,19,20,24.0
