,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612746,LAC,LA Clippers,0021801095,2019-03-24,LAC @ NYK,W,241,124,38,86,0.442,15,35.0,0.429,33,37,0.892,12.0,30.0,42.0,24,7.0,4.0,8.0,19,11.0
1,22018,1610612746,LAC,LA Clippers,0021801081,2019-03-22,LAC @ CLE,W,242,110,42,82,0.512,6,26.0,0.231,20,23,0.87,7.0,36.0,43.0,24,6.0,6.0,11.0,16,2.0
2,22018,1610612746,LAC,LA Clippers,0021801064,2019-03-19,LAC vs. IND,W,241,115,43,89,0.483,10,34.0,0.294,19,27,0.704,10.0,29.0,39.0,28,14.0,2.0,13.0,20,6.0
3,22018,1610612746,LAC,LA Clippers,0021801049,2019-03-17,LAC vs. BKN,W,242,119,42,97,0.433,12,31.0,0.387,23,28,0.821,16.0,38.0,54.0,26,8.0,6.0,13.0,25,3.0
4,22018,1610612746,LAC,LA Clippers,0021801033,2019-03-15,LAC vs. CHI,W,241,128,44,99,0.444,10,20.0,0.5,30,35,0.857,15.0,28.0,43.0,28,9.0,5.0,7.0,30,7.0
5,22018,1610612746,LAC,LA Clippers,0021801013,2019-03-12,LAC vs. POR,L,239,104,38,95,0.4,9,15.0,0.6,19,27,0.704,25.0,26.0,51.0,21,7.0,3.0,11.0,21,-21.0
6,22018,1610612746,LAC,LA Clippers,0021801006,2019-03-11,LAC vs. BOS,W,239,140,53,86,0.616,13,28.0,0.464,21,25,0.84,10.0,37.0,47.0,29,4.0,1.0,19.0,26,25.0
7,22018,1610612746,LAC,LA Clippers,0021800985,2019-03-08,LAC vs. OKC,W,240,118,39,86,0.453,9,25.0,0.36,31,46,0.674,10.0,43.0,53.0,20,7.0,4.0,10.0,26,8.0
8,22018,1610612746,LAC,LA Clippers,0021800958,2019-03-04,LAC @ LAL,W,239,113,41,83,0.494,11,29.0,0.379,20,24,0.833,8.0,42.0,50.0,25,7.0,3.0,12.0,22,8.0
9,22018,1610612746,LAC,LA Clippers,0021800947,2019-03-03,LAC vs. NYK,W,239,128,48,98,0.49,19,35.0,0.543,13,17,0.765,9.0,44.0,53.0,33,5.0,4.0,16.0,28,21.0
10,22018,1610612746,LAC,LA Clippers,0021800933,2019-03-01,LAC @ SAC,W,240,116,40,92,0.435,12,31.0,0.387,24,33,0.727,16.0,42.0,58.0,19,4.0,6.0,11.0,23,7.0
11,22018,1610612746,LAC,LA Clippers,0021800919,2019-02-27,LAC @ UTA,L,240,105,37,94,0.394,5,26.0,0.192,26,30,0.867,11.0,36.0,47.0,16,11.0,6.0,10.0,26,-6.0
12,22018,1610612746,LAC,LA Clippers,0021800907,2019-02-25,LAC vs. DAL,W,240,121,45,100,0.45,17,45.0,0.378,14,18,0.778,9.0,31.0,40.0,33,11.0,4.0,5.0,22,9.0
13,22018,1610612746,LAC,LA Clippers,0021800895,2019-02-24,LAC @ DEN,L,240,96,30,87,0.345,3,21.0,0.143,33,37,0.892,7.0,31.0,38.0,20,9.0,7.0,17.0,27,-27.0
14,22018,1610612746,LAC,LA Clippers,0021800879,2019-02-22,LAC @ MEM,W,239,112,35,75,0.467,6,25.0,0.24,36,42,0.857,7.0,42.0,49.0,21,8.0,4.0,23.0,30,6.0
15,22018,1610612746,LAC,LA Clippers,0021800863,2019-02-13,LAC vs. PHX,W,240,134,50,84,0.595,11,22.0,0.5,23,30,0.767,7.0,36.0,43.0,33,12.0,9.0,11.0,25,27.0
16,22018,1610612746,LAC,LA Clippers,0021800845,2019-02-11,LAC @ MIN,L,240,120,37,72,0.514,12,29.0,0.414,34,39,0.872,8.0,29.0,37.0,24,8.0,2.0,21.0,28,-10.0
17,22018,1610612746,LAC,LA Clippers,0021800829,2019-02-09,LAC @ BOS,W,241,123,40,84,0.476,12,30.0,0.4,31,40,0.775,6.0,43.0,49.0,28,6.0,6.0,17.0,27,11.0
18,22018,1610612746,LAC,LA Clippers,0021800811,2019-02-07,LAC @ IND,L,240,92,37,85,0.435,6,17.0,0.353,12,19,0.632,9.0,27.0,36.0,23,14.0,6.0,19.0,19,-24.0
