,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612747,LAL,Los Angeles Lakers,0021801102,2019-03-24,LAL vs. SAC,,109,46,18,45,0.4,5,21,0.238,5,8,0.625,7.0,23.0,30.0,11,2.0,2.0,10.0,11,-2.6
1,22018,1610612747,LAL,Los Angeles Lakers,0021801086,2019-03-22,LAL vs. BKN,L,241,106,37,96,0.385,9,36,0.25,23,32,0.719,19.0,40.0,59.0,21,8.0,9.0,16.0,26,-5.0
2,22018,1610612747,LAL,Los Angeles Lakers,0021801061,2019-03-19,LAL @ MIL,L,238,101,33,86,0.384,16,43,0.372,19,23,0.826,8.0,34.0,42.0,20,9.0,5.0,19.0,18,-14.0
3,22018,1610612747,LAL,Los Angeles Lakers,0021801042,2019-03-17,LAL @ NYK,L,240,123,47,97,0.485,7,27,0.259,22,28,0.786,15.0,20.0,35.0,26,12.0,5.0,10.0,21,-1.0
4,22018,1610612747,LAL,Los Angeles Lakers,0021801026,2019-03-15,LAL @ DET,L,239,97,36,86,0.419,6,25,0.24,19,26,0.731,11.0,36.0,47.0,24,9.0,4.0,14.0,26,-14.0
5,22018,1610612747,LAL,Los Angeles Lakers,0021801023,2019-03-14,LAL @ TOR,L,241,98,38,85,0.447,7,31,0.226,15,24,0.625,6.0,40.0,46.0,24,11.0,3.0,20.0,21,-13.0
6,22018,1610612747,LAL,Los Angeles Lakers,0021801009,2019-03-12,LAL @ CHI,W,239,123,47,86,0.547,13,33,0.394,16,20,0.8,5.0,36.0,41.0,23,11.0,5.0,13.0,14,16.0
7,22018,1610612747,LAL,Los Angeles Lakers,0021800989,2019-03-09,LAL vs. BOS,L,240,107,44,91,0.484,5,27,0.185,14,18,0.778,8.0,35.0,43.0,28,4.0,4.0,12.0,16,-13.0
8,22018,1610612747,LAL,Los Angeles Lakers,0021800974,2019-03-06,LAL vs. DEN,L,240,99,40,84,0.476,7,31,0.226,12,23,0.522,5.0,36.0,41.0,26,5.0,4.0,12.0,22,-16.0
9,22018,1610612747,LAL,Los Angeles Lakers,0021800958,2019-03-04,LAL vs. LAC,L,239,105,38,91,0.418,10,38,0.263,19,24,0.792,7.0,33.0,40.0,22,2.0,6.0,12.0,21,-8.0
10,22018,1610612747,LAL,Los Angeles Lakers,0021800942,2019-03-02,LAL @ PHX,L,240,109,43,89,0.483,8,25,0.32,15,23,0.652,10.0,30.0,40.0,27,3.0,3.0,11.0,24,-9.0
11,22018,1610612747,LAL,Los Angeles Lakers,0021800934,2019-03-01,LAL vs. MIL,L,240,120,46,96,0.479,13,40,0.325,15,18,0.833,8.0,32.0,40.0,29,4.0,4.0,9.0,21,-11.0
12,22018,1610612747,LAL,Los Angeles Lakers,0021800921,2019-02-27,LAL vs. NOP,W,240,125,49,94,0.521,8,25,0.32,19,31,0.613,6.0,33.0,39.0,37,7.0,8.0,8.0,22,6.0
13,22018,1610612747,LAL,Los Angeles Lakers,0021800904,2019-02-25,LAL @ MEM,L,240,105,40,89,0.449,10,27,0.37,15,20,0.75,10.0,36.0,46.0,25,8.0,5.0,17.0,28,-5.0
14,22018,1610612747,LAL,Los Angeles Lakers,0021800887,2019-02-23,LAL @ NOP,L,241,115,44,81,0.543,10,29,0.345,17,26,0.654,6.0,33.0,39.0,33,10.0,3.0,23.0,21,-13.0
15,22018,1610612747,LAL,Los Angeles Lakers,0021800872,2019-02-21,LAL vs. HOU,W,240,111,38,86,0.442,8,30,0.267,27,33,0.818,12.0,37.0,49.0,22,4.0,4.0,17.0,17,5.0
16,22018,1610612747,LAL,Los Angeles Lakers,0021800848,2019-02-12,LAL @ ATL,L,239,113,41,95,0.432,14,40,0.35,17,25,0.68,10.0,34.0,44.0,25,10.0,6.0,15.0,24,-4.0
17,22018,1610612747,LAL,Los Angeles Lakers,0021800835,2019-02-10,LAL @ PHI,L,240,120,48,93,0.516,10,27,0.37,14,19,0.737,9.0,34.0,43.0,31,3.0,4.0,16.0,21,-23.0
18,22018,1610612747,LAL,Los Angeles Lakers,0021800814,2019-02-07,LAL @ BOS,W,240,129,50,97,0.515,22,41,0.537,7,18,0.389,10.0,33.0,43.0,35,5.0,6.0,8.0,19,1.0
19,22018,1610612747,LAL,Los Angeles Lakers,0021800798,2019-02-05,LAL @ IND,L,238,94,35,75,0.467,4,21,0.19,20,26,0.769,3.0,31.0,34.0,25,5.0,3.0,19.0,14,-42.0
20,22018,1610612747,LAL,Los Angeles Lakers,0021800782,2019-02-02,LAL @ GSW,L,241,101,42,96,0.438,7,27,0.259,10,17,0.588,13.0,36.0,49.0,23,5.0,4.0,15.0,18,-14.0
21,22018,1610612747,LAL,Los Angeles Lakers,0021800769,2019-01-31,LAL @ LAC,W,264,123,42,92,0.457,11,26,0.423,28,35,0.8,7.0,49.0,56.0,28,7.0,4.0,16.0,24,3.0
22,22018,1610612747,LAL,Los Angeles Lakers,0021800755,2019-01-29,LAL vs. PHI,L,240,105,43,92,0.467,7,23,0.304,12,16,0.75,14.0,35.0,49.0,26,7.0,4.0,21.0,20,-16.0
23,22018,1610612747,LAL,Los Angeles Lakers,0021800743,2019-01-27,LAL vs. PHX,W,240,116,47,89,0.528,10,23,0.435,12,18,0.667,14.0,27.0,41.0,28,8.0,10.0,16.0,30,14.0
24,22018,1610612747,LAL,Los Angeles Lakers,0021800719,2019-01-24,LAL vs. MIN,L,238,105,44,87,0.506,8,28,0.286,9,14,0.643,9.0,30.0,39.0,28,5.0,5.0,19.0,23,-15.0
25,22018,1610612747,LAL,Los Angeles Lakers,0021800701,2019-01-21,LAL vs. GSW,L,241,111,42,84,0.5,5,20,0.25,22,38,0.579,7.0,35.0,42.0,20,1.0,4.0,14.0,19,-19.0
26,22018,1610612747,LAL,Los Angeles Lakers,0021800686,2019-01-19,LAL @ HOU,L,264,134,50,96,0.521,10,37,0.27,24,30,0.8,13.0,43.0,56.0,27,6.0,4.0,15.0,27,-4.0
27,22018,1610612747,LAL,Los Angeles Lakers,0021800670,2019-01-17,LAL @ OKC,W,265,138,50,99,0.505,19,40,0.475,19,21,0.905,14.0,49.0,63.0,37,11.0,5.0,23.0,24,10.0
28,22018,1610612747,LAL,Los Angeles Lakers,0021800656,2019-01-15,LAL vs. CHI,W,240,107,38,82,0.463,8,26,0.308,23,34,0.676,13.0,38.0,51.0,21,7.0,4.0,17.0,18,7.0
29,22018,1610612747,LAL,Los Angeles Lakers,0021800644,2019-01-13,LAL vs. CLE,L,240,95,36,91,0.396,7,34,0.206,16,27,0.593,13.0,38.0,51.0,21,4.0,5.0,11.0,22,-6.0
30,22018,1610612747,LAL,Los Angeles Lakers,0021800627,2019-01-11,LAL @ UTA,L,241,95,37,103,0.359,5,27,0.185,16,24,0.667,16.0,39.0,55.0,14,9.0,5.0,12.0,23,-18.0
31,22018,1610612747,LAL,Los Angeles Lakers,0021800616,2019-01-09,LAL vs. DET,W,241,113,46,82,0.561,8,23,0.348,13,18,0.722,9.0,38.0,47.0,30,5.0,6.0,14.0,17,13.0
32,22018,1610612747,LAL,Los Angeles Lakers,0021800596,2019-01-07,LAL @ DAL,W,238,107,41,94,0.436,8,29,0.276,17,27,0.63,11.0,33.0,44.0,28,12.0,2.0,13.0,20,10.0
33,22018,1610612747,LAL,Los Angeles Lakers,0021800585,2019-01-06,LAL @ MIN,L,241,86,32,87,0.368,5,22,0.227,17,28,0.607,12.0,36.0,48.0,20,6.0,4.0,21.0,20,-22.0
34,22018,1610612747,LAL,Los Angeles Lakers,0021800574,2019-01-04,LAL vs. NYK,L,241,112,43,98,0.439,11,37,0.297,15,20,0.75,12.0,43.0,55.0,23,4.0,7.0,16.0,27,-7.0
