,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612763,MEM,Memphis Grizzlies,0021801091,2019-03-23,MEM vs. MIN,L,240,99,36,96,0.375,10,33,0.303,17,22,0.773,20,27,47,22,8,4,15,22,-13.0
1,22018,1610612763,MEM,Memphis Grizzlies,0021801080,2019-03-22,MEM @ ORL,L,266,119,47,93,0.505,15,38,0.395,10,21,0.476,10,42,52,28,5,6,13,24,-4.0
2,22018,1610612763,MEM,Memphis Grizzlies,0021801070,2019-03-20,MEM vs. HOU,W,265,126,41,89,0.461,13,37,0.351,31,39,0.795,15,36,51,20,8,0,17,19,1.0
3,22018,1610612763,MEM,Memphis Grizzlies,0021801035,2019-03-16,MEM @ WAS,L,241,128,48,90,0.533,12,33,0.364,20,26,0.769,7,33,40,35,5,3,8,27,-7.0
4,22018,1610612763,MEM,Memphis Grizzlies,0021801016,2019-03-13,MEM @ ATL,L,241,111,38,89,0.427,14,40,0.35,21,26,0.808,9,26,35,28,8,6,14,17,-21.0
5,22018,1610612763,MEM,Memphis Grizzlies,0021800996,2019-03-10,MEM vs. ORL,W,241,105,34,82,0.415,9,31,0.29,28,31,0.903,6,39,45,23,6,6,10,22,8.0
6,22018,1610612763,MEM,Memphis Grizzlies,0021800982,2019-03-08,MEM vs. UTA,W,241,114,46,90,0.511,9,22,0.409,13,15,0.867,8,35,43,31,5,5,10,18,10.0
7,22018,1610612763,MEM,Memphis Grizzlies,0021800962,2019-03-05,MEM vs. POR,W,239,120,40,75,0.533,13,27,0.481,27,36,0.75,4,30,34,22,11,5,16,21,9.0
8,22018,1610612763,MEM,Memphis Grizzlies,0021800951,2019-03-03,MEM @ OKC,L,238,95,35,79,0.443,7,22,0.318,18,19,0.947,4,40,44,22,9,9,20,25,-4.0
9,22018,1610612763,MEM,Memphis Grizzlies,0021800939,2019-03-02,MEM @ DAL,W,239,111,39,78,0.5,14,34,0.412,19,24,0.792,4,46,50,30,4,6,15,30,30.0
10,22018,1610612763,MEM,Memphis Grizzlies,0021800916,2019-02-27,MEM vs. CHI,L,240,107,41,94,0.436,9,27,0.333,16,18,0.889,12,34,46,25,7,5,16,17,-2.0
11,22018,1610612763,MEM,Memphis Grizzlies,0021800904,2019-02-25,MEM vs. LAL,W,241,110,41,93,0.441,9,36,0.25,19,23,0.826,15,42,57,20,7,5,14,21,5.0
12,22018,1610612763,MEM,Memphis Grizzlies,0021800885,2019-02-23,MEM @ CLE,L,240,107,40,90,0.444,5,25,0.2,22,28,0.786,15,28,43,18,7,6,12,21,-5.0
13,22018,1610612763,MEM,Memphis Grizzlies,0021800879,2019-02-22,MEM vs. LAC,L,242,106,33,90,0.367,9,32,0.281,31,36,0.861,11,28,39,20,10,6,11,31,-6.0
14,22018,1610612763,MEM,Memphis Grizzlies,0021800858,2019-02-13,MEM @ CHI,L,242,110,43,89,0.483,11,31,0.355,13,17,0.765,6,26,32,33,9,5,8,19,-12.0
15,22018,1610612763,MEM,Memphis Grizzlies,0021800850,2019-02-12,MEM vs. SAS,L,239,107,44,89,0.494,8,24,0.333,11,16,0.688,8,40,48,25,5,6,12,23,-1.0
16,22018,1610612763,MEM,Memphis Grizzlies,0021800831,2019-02-09,MEM vs. NOP,W,240,99,38,88,0.432,8,29,0.276,15,18,0.833,10,35,45,27,6,2,10,24,9.0
17,22018,1610612763,MEM,Memphis Grizzlies,0021800815,2019-02-07,MEM @ OKC,L,241,95,34,77,0.442,7,24,0.292,20,23,0.87,8,37,45,19,9,4,24,21,-22.0
18,22018,1610612763,MEM,Memphis Grizzlies,0021800801,2019-02-05,MEM vs. MIN,W,240,108,36,86,0.419,15,34,0.441,21,29,0.724,12,27,39,18,11,6,8,18,2.0
19,22018,1610612763,MEM,Memphis Grizzlies,0021800787,2019-02-03,MEM @ NYK,W,241,96,37,91,0.407,9,26,0.346,13,18,0.722,10,39,49,25,8,4,7,20,12.0
20,22018,1610612763,MEM,Memphis Grizzlies,0021800770,2019-02-01,MEM @ CHA,L,241,92,35,80,0.438,9,29,0.31,13,17,0.765,9,31,40,23,8,3,11,22,-8.0
21,22018,1610612763,MEM,Memphis Grizzlies,0021800760,2019-01-30,MEM @ MIN,L,265,97,36,87,0.414,6,23,0.261,19,22,0.864,14,37,51,21,3,7,18,27,-2.0
