,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612749,MIL,Milwaukee Bucks,0021801096,2019-03-24,MIL vs. CLE,W,241,127,48,87,0.552,15,41,0.366,16,21,0.762,4.0,41.0,45.0,26,8,7,9,13,22.0
1,22018,1610612749,MIL,Milwaukee Bucks,0021801085,2019-03-22,MIL vs. MIA,W,238,116,43,85,0.506,17,34,0.5,13,20,0.65,9.0,43.0,52.0,33,5,5,14,23,29.0
2,22018,1610612749,MIL,Milwaukee Bucks,0021801065,2019-03-20,MIL @ CLE,L,240,102,36,91,0.396,13,32,0.406,17,21,0.81,11.0,40.0,51.0,24,9,7,9,16,-5.0
3,22018,1610612749,MIL,Milwaukee Bucks,0021801061,2019-03-19,MIL vs. LAL,W,239,115,41,89,0.461,15,47,0.319,18,27,0.667,12.0,42.0,54.0,25,9,4,17,19,14.0
4,22018,1610612749,MIL,Milwaukee Bucks,0021801043,2019-03-17,MIL vs. PHI,L,240,125,43,95,0.453,16,50,0.32,23,28,0.821,10.0,35.0,45.0,25,9,6,10,22,-5.0
5,22018,1610612749,MIL,Milwaukee Bucks,0021801029,2019-03-15,MIL @ MIA,W,240,113,42,88,0.477,12,33,0.364,17,24,0.708,8.0,44.0,52.0,29,8,9,15,21,15.0
6,22018,1610612749,MIL,Milwaukee Bucks,0021801010,2019-03-12,MIL @ NOP,W,240,130,48,97,0.495,10,36,0.278,24,28,0.857,5.0,47.0,52.0,27,5,4,13,20,17.0
7,22018,1610612749,MIL,Milwaukee Bucks,0021800999,2019-03-10,MIL @ SAS,L,240,114,41,87,0.471,14,36,0.389,18,25,0.72,6.0,39.0,45.0,22,3,2,10,17,-7.0
8,22018,1610612749,MIL,Milwaukee Bucks,0021800990,2019-03-09,MIL vs. CHA,W,240,131,44,90,0.489,17,44,0.386,26,30,0.867,14.0,41.0,55.0,27,9,2,12,17,17.0
9,22018,1610612749,MIL,Milwaukee Bucks,0021800975,2019-03-07,MIL vs. IND,W,241,117,43,86,0.5,14,35,0.4,17,21,0.81,8.0,44.0,52.0,21,7,10,13,19,19.0
10,22018,1610612749,MIL,Milwaukee Bucks,0021800955,2019-03-04,MIL @ PHX,L,240,105,35,95,0.368,12,42,0.286,23,31,0.742,18.0,39.0,57.0,17,8,2,14,25,-9.0
11,22018,1610612749,MIL,Milwaukee Bucks,0021800943,2019-03-02,MIL @ UTA,L,241,111,37,96,0.385,15,39,0.385,22,30,0.733,17.0,36.0,53.0,20,6,10,15,22,-4.0
12,22018,1610612749,MIL,Milwaukee Bucks,0021800934,2019-03-01,MIL @ LAL,W,240,131,48,93,0.516,14,40,0.35,21,24,0.875,11.0,40.0,51.0,30,4,6,11,15,11.0
13,22018,1610612749,MIL,Milwaukee Bucks,0021800920,2019-02-27,MIL @ SAC,W,267,141,54,112,0.482,17,45,0.378,16,21,0.762,11.0,46.0,57.0,36,3,14,11,18,1.4
14,22018,1610612749,MIL,Milwaukee Bucks,0021800902,2019-02-25,MIL @ CHI,W,241,117,42,91,0.462,17,49,0.347,16,23,0.696,8.0,37.0,45.0,26,3,6,8,22,11.0
15,22018,1610612749,MIL,Milwaukee Bucks,0021800891,2019-02-23,MIL vs. MIN,W,242,140,50,95,0.526,19,43,0.442,21,22,0.955,10.0,39.0,49.0,28,6,8,11,17,12.0
16,22018,1610612749,MIL,Milwaukee Bucks,0021800870,2019-02-21,MIL vs. BOS,W,240,98,37,88,0.42,14,39,0.359,10,14,0.714,9.0,46.0,55.0,21,5,4,15,11,1.0
