,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612750,MIN,Minnesota Timberwolves,0021801091,2019-03-23,MIN @ MEM,W,240,112,40,83,0.482,12,26,0.462,20,21,0.952,13,36,49,25,7,10,19,20,13.0
1,22018,1610612750,MIN,Minnesota Timberwolves,0021801074,2019-03-21,MIN @ CHA,L,240,106,39,88,0.443,10,28,0.357,18,29,0.621,9,40,49,23,6,7,13,21,-7.0
2,22018,1610612750,MIN,Minnesota Timberwolves,0021801062,2019-03-19,MIN vs. GSW,L,238,107,36,89,0.404,9,36,0.25,26,32,0.813,13,39,52,25,7,0,13,14,-10.0
3,22018,1610612750,MIN,Minnesota Timberwolves,0021801048,2019-03-17,MIN @ HOU,L,240,102,38,92,0.413,10,32,0.313,16,23,0.696,15,37,52,22,5,4,14,13,-15.0
4,22018,1610612750,MIN,Minnesota Timberwolves,0021801024,2019-03-14,MIN @ UTA,L,241,100,42,91,0.462,5,24,0.208,11,15,0.733,8,30,38,27,6,2,11,23,-20.0
5,22018,1610612750,MIN,Minnesota Timberwolves,0021801012,2019-03-12,MIN @ DEN,L,240,107,41,89,0.461,11,30,0.367,14,14,1.0,12,23,35,24,10,6,14,20,-26.0
6,22018,1610612750,MIN,Minnesota Timberwolves,0021800998,2019-03-10,MIN vs. NYK,W,241,103,42,94,0.447,9,30,0.3,10,13,0.769,9,31,40,22,13,10,11,16,11.0
7,22018,1610612750,MIN,Minnesota Timberwolves,0021800988,2019-03-09,MIN vs. WAS,W,265,135,51,114,0.447,12,36,0.333,21,24,0.875,18,37,55,25,9,3,9,17,5.0
8,22018,1610612750,MIN,Minnesota Timberwolves,0021800966,2019-03-06,MIN @ DET,L,239,114,41,84,0.488,12,27,0.444,20,21,0.952,6,31,37,25,3,5,13,22,-17.0
9,22018,1610612750,MIN,Minnesota Timberwolves,0021800963,2019-03-05,MIN vs. OKC,W,239,131,47,89,0.528,11,22,0.5,26,35,0.743,10,42,52,28,6,2,9,24,11.0
10,22018,1610612750,MIN,Minnesota Timberwolves,0021800950,2019-03-03,MIN @ WAS,L,240,121,52,99,0.525,4,27,0.148,13,19,0.684,12,34,46,25,3,4,12,24,-14.0
11,22018,1610612750,MIN,Minnesota Timberwolves,0021800922,2019-02-28,MIN @ IND,L,241,115,42,89,0.472,8,26,0.308,23,34,0.676,21,35,56,16,5,7,15,24,-7.0
12,22018,1610612750,MIN,Minnesota Timberwolves,0021800912,2019-02-27,MIN @ ATL,L,264,123,44,102,0.431,12,38,0.316,23,33,0.697,9,38,47,29,8,7,6,24,-8.0
13,22018,1610612750,MIN,Minnesota Timberwolves,0021800905,2019-02-25,MIN vs. SAC,W,241,112,42,83,0.506,8,31,0.258,20,28,0.714,7,42,49,23,10,6,22,28,7.0
