,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612740,NOP,New Orleans Pelicans,0021801099,2019-03-24,NOP vs. HOU,L,239,90,38,92,0.413,7,28,0.25,7,10,0.7,15,29,44,26,9,3,15,9,-23.0
1,22018,1610612740,NOP,New Orleans Pelicans,0021801066,2019-03-20,NOP @ ORL,L,241,96,38,102,0.373,10,34,0.294,10,13,0.769,14,35,49,24,9,2,13,15,-23.0
2,22018,1610612740,NOP,New Orleans Pelicans,0021801056,2019-03-18,NOP @ DAL,W,264,129,49,104,0.471,12,39,0.308,19,22,0.864,14,41,55,34,7,6,17,28,4.0
3,22018,1610612740,NOP,New Orleans Pelicans,0021801036,2019-03-16,NOP vs. PHX,L,265,136,47,102,0.461,15,30,0.5,27,41,0.659,18,39,57,34,11,4,22,30,-2.0
4,22018,1610612740,NOP,New Orleans Pelicans,0021801031,2019-03-15,NOP vs. POR,L,239,110,45,94,0.479,8,30,0.267,12,25,0.48,14,31,45,31,7,6,11,23,-12.0
5,22018,1610612740,NOP,New Orleans Pelicans,0021801010,2019-03-12,NOP vs. MIL,L,239,113,46,107,0.43,10,47,0.213,11,16,0.688,13,37,50,27,3,4,15,23,-17.0
6,22018,1610612740,NOP,New Orleans Pelicans,0021800995,2019-03-10,NOP @ ATL,L,239,116,45,101,0.446,18,41,0.439,8,8,1.0,5,37,42,29,6,9,8,17,-12.0
7,22018,1610612740,NOP,New Orleans Pelicans,0021800983,2019-03-08,NOP vs. TOR,L,241,104,43,105,0.41,10,39,0.256,8,13,0.615,14,37,51,28,11,0,17,12,-23.0
8,22018,1610612740,NOP,New Orleans Pelicans,0021800971,2019-03-06,NOP vs. UTA,L,240,104,41,89,0.461,9,24,0.375,13,20,0.65,7,34,41,17,6,4,17,23,-10.0
9,22018,1610612740,NOP,New Orleans Pelicans,0021800956,2019-03-04,NOP @ UTA,W,240,115,46,96,0.479,9,20,0.45,14,18,0.778,12,32,44,24,12,5,8,20,3.0
10,22018,1610612740,NOP,New Orleans Pelicans,0021800941,2019-03-02,NOP @ DEN,W,240,120,45,92,0.489,12,30,0.4,18,26,0.692,12,35,47,28,10,4,21,25,8.0
11,22018,1610612740,NOP,New Orleans Pelicans,0021800932,2019-03-01,NOP @ PHX,W,240,130,50,87,0.575,16,27,0.593,14,20,0.7,10,40,50,34,13,4,24,18,14.0
12,22018,1610612740,NOP,New Orleans Pelicans,0021800921,2019-02-27,NOP @ LAL,L,240,119,46,102,0.451,7,35,0.2,20,27,0.741,14,38,52,31,6,3,13,27,-6.0
13,22018,1610612740,NOP,New Orleans Pelicans,0021800906,2019-02-25,NOP vs. PHI,L,238,110,44,104,0.423,5,28,0.179,17,24,0.708,14,40,54,29,15,8,13,19,-1.0
14,22018,1610612740,NOP,New Orleans Pelicans,0021800887,2019-02-23,NOP vs. LAL,W,241,128,50,96,0.521,15,40,0.375,13,16,0.813,9,32,41,31,14,4,17,21,13.0
15,22018,1610612740,NOP,New Orleans Pelicans,0021800874,2019-02-22,NOP @ IND,L,241,111,43,93,0.462,8,27,0.296,17,30,0.567,14,37,51,25,5,5,17,25,-15.0
16,22018,1610612740,NOP,New Orleans Pelicans,0021800866,2019-02-14,NOP vs. OKC,W,240,131,50,92,0.543,12,26,0.462,19,24,0.792,13,38,51,35,7,7,14,15,9.0
17,22018,1610612740,NOP,New Orleans Pelicans,0021800851,2019-02-12,NOP vs. ORL,L,239,88,36,94,0.383,10,29,0.345,6,8,0.75,8,34,42,21,5,8,14,16,-30.0
18,22018,1610612740,NOP,New Orleans Pelicans,0021800831,2019-02-09,NOP @ MEM,L,241,90,34,86,0.395,6,33,0.182,16,27,0.593,17,35,52,25,6,5,15,22,-9.0
19,22018,1610612740,NOP,New Orleans Pelicans,0021800823,2019-02-08,NOP vs. MIN,W,241,122,43,91,0.473,9,30,0.3,27,28,0.964,8,37,45,27,11,7,11,21,5.0
20,22018,1610612740,NOP,New Orleans Pelicans,0021800805,2019-02-06,NOP @ CHI,W,241,125,45,85,0.529,15,35,0.429,20,30,0.667,14,32,46,26,1,6,11,18,5.0
21,22018,1610612740,NOP,New Orleans Pelicans,0021800793,2019-02-04,NOP vs. IND,L,240,107,39,90,0.433,9,38,0.237,20,24,0.833,13,42,55,26,6,4,16,19,-2.0
22,22018,1610612740,NOP,New Orleans Pelicans,0021800779,2019-02-02,NOP @ SAS,L,239,108,43,96,0.448,10,35,0.286,12,12,1.0,5,37,42,26,6,4,8,16,-5.0
23,22018,1610612740,NOP,New Orleans Pelicans,0021800761,2019-01-30,NOP vs. DEN,L,240,99,37,89,0.416,15,36,0.417,10,13,0.769,8,40,48,27,4,4,14,20,-6.0
24,22018,1610612740,NOP,New Orleans Pelicans,0021800753,2019-01-29,NOP @ HOU,W,239,121,46,90,0.511,9,31,0.29,20,25,0.8,13,42,55,27,8,9,17,17,5.0
25,22018,1610612740,NOP,New Orleans Pelicans,0021800730,2019-01-26,NOP vs. SAS,L,240,114,45,96,0.469,7,27,0.259,17,24,0.708,10,31,41,26,6,6,8,18,-12.0
26,22018,1610612740,NOP,New Orleans Pelicans,0021800717,2019-01-24,NOP @ OKC,L,240,116,49,101,0.485,10,36,0.278,8,12,0.667,8,34,42,34,7,6,12,16,-6.0
27,22018,1610612740,NOP,New Orleans Pelicans,0021800714,2019-01-23,NOP vs. DET,L,239,94,42,91,0.462,6,22,0.273,4,9,0.444,8,41,49,20,3,9,12,18,-4.0
28,22018,1610612740,NOP,New Orleans Pelicans,0021800697,2019-01-21,NOP @ MEM,W,239,105,39,74,0.527,9,26,0.346,18,26,0.692,7,43,50,19,8,7,19,17,20.0
29,22018,1610612740,NOP,New Orleans Pelicans,0021800677,2019-01-18,NOP @ POR,L,242,112,41,84,0.488,8,25,0.32,22,27,0.815,7,34,41,23,4,6,12,24,-16.0
30,22018,1610612740,NOP,New Orleans Pelicans,0021800663,2019-01-16,NOP @ GSW,L,239,140,47,98,0.48,19,37,0.514,27,33,0.818,7,42,49,36,6,5,10,23,-7.0
31,22018,1610612740,NOP,New Orleans Pelicans,0021800650,2019-01-14,NOP @ LAC,W,240,121,46,105,0.438,8,25,0.32,21,28,0.75,15,34,49,28,8,7,6,19,4.0
32,22018,1610612740,NOP,New Orleans Pelicans,0021800633,2019-01-12,NOP @ MIN,L,240,106,40,87,0.46,5,24,0.208,21,24,0.875,10,38,48,22,7,8,15,20,-4.0
33,22018,1610612740,NOP,New Orleans Pelicans,0021800612,2019-01-09,NOP vs. CLE,W,240,140,46,84,0.548,12,29,0.414,36,39,0.923,11,33,44,33,7,7,16,21,16.0
34,22018,1610612740,NOP,New Orleans Pelicans,0021800595,2019-01-07,NOP vs. MEM,W,239,114,44,79,0.557,6,17,0.353,20,29,0.69,5,35,40,27,13,4,14,18,19.0
35,22018,1610612740,NOP,New Orleans Pelicans,0021800579,2019-01-05,NOP @ CLE,W,241,133,47,81,0.58,14,27,0.519,25,29,0.862,10,34,44,29,13,7,14,18,35.0
36,22018,1610612740,NOP,New Orleans Pelicans,0021800557,2019-01-02,NOP @ BKN,L,241,121,46,87,0.529,10,23,0.435,19,27,0.704,10,31,41,19,7,5,12,20,-5.0
37,22018,1610612740,NOP,New Orleans Pelicans,0021800546,2018-12-31,NOP vs. MIN,W,239,123,45,87,0.517,14,25,0.56,19,21,0.905,11,33,44,28,3,2,15,21,9.0
