,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612752,NYK,New York Knicks,0021801095,2019-03-24,NYK vs. LAC,L,240,113,41,86,0.477,9,33.0,0.273,22,25,0.88,13.0,31.0,44.0,22,5.0,7.0,14.0,24.0,-11.0
1,22018,1610612752,NYK,New York Knicks,0021801082,2019-03-22,NYK vs. DEN,L,241,93,34,90,0.378,9,32.0,0.281,16,21,0.762,8.0,37.0,45.0,20,3.0,5.0,7.0,15.0,-18.0
2,22018,1610612752,NYK,New York Knicks,0021801068,2019-03-20,NYK vs. UTA,L,240,116,45,86,0.523,13,31.0,0.419,13,21,0.619,8.0,32.0,40.0,23,6.0,6.0,14.0,21.0,-21.0
3,22018,1610612752,NYK,New York Knicks,0021801053,2019-03-18,NYK @ TOR,L,239,92,28,85,0.329,8,35.0,0.229,28,32,0.875,7.0,29.0,36.0,16,8.0,4.0,13.0,18.0,-36.0
4,22018,1610612752,NYK,New York Knicks,0021801042,2019-03-17,NYK vs. LAL,W,240,124,44,76,0.579,12,26.0,0.462,24,29,0.828,10.0,35.0,45.0,24,4.0,5.0,23.0,26.0,1.0
5,22018,1610612752,NYK,New York Knicks,0021801032,2019-03-15,NYK @ SAS,L,241,83,35,86,0.407,8,20.0,0.4,5,9,0.556,9.0,32.0,41.0,21,6.0,4.0,16.0,13.0,-26.0
6,22018,1610612752,NYK,New York Knicks,0021801007,2019-03-12,NYK @ IND,L,239,98,35,80,0.438,13,28.0,0.464,15,18,0.833,8.0,40.0,48.0,22,4.0,5.0,19.0,23.0,-5.0
7,22018,1610612752,NYK,New York Knicks,0021800998,2019-03-10,NYK @ MIN,L,241,92,37,86,0.43,10,25.0,0.4,8,14,0.571,10.0,33.0,43.0,20,5.0,8.0,17.0,14.0,-11.0
8,22018,1610612752,NYK,New York Knicks,0021800986,2019-03-09,NYK vs. SAC,L,239,94,35,94,0.372,10,35.0,0.286,14,21,0.667,13.0,45.0,58.0,16,3.0,5.0,9.0,20.0,-8.0
9,22018,1610612752,NYK,New York Knicks,0021800972,2019-03-06,NYK @ PHX,L,239,96,35,77,0.455,6,15.0,0.4,20,25,0.8,8.0,38.0,46.0,17,6.0,7.0,21.0,23.0,-11.0
