,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612760,OKC,Oklahoma City Thunder,0021801083,2019-03-22,OKC @ TOR,W,240,116,42,94,0.447,20,43,0.465,12,14,0.857,12,27,39,30,9,6,12,21,7.0
1,22018,1610612760,OKC,Oklahoma City Thunder,0021801072,2019-03-20,OKC vs. TOR,L,265,114,43,103,0.417,13,43,0.302,15,29,0.517,16,32,48,22,6,2,17,22,-9.0
2,22018,1610612760,OKC,Oklahoma City Thunder,0021801054,2019-03-18,OKC vs. MIA,L,241,107,38,87,0.437,10,37,0.27,21,27,0.778,13,36,49,21,4,8,19,17,-9.0
3,22018,1610612760,OKC,Oklahoma City Thunder,0021801038,2019-03-16,OKC vs. GSW,L,239,88,31,96,0.323,13,41,0.317,13,23,0.565,17,35,52,18,4,5,16,18,-22.0
4,22018,1610612760,OKC,Oklahoma City Thunder,0021801020,2019-03-14,OKC @ IND,L,240,106,38,86,0.442,14,30,0.467,16,20,0.8,8,36,44,24,11,5,17,28,-2.0
5,22018,1610612760,OKC,Oklahoma City Thunder,0021801017,2019-03-13,OKC vs. BKN,W,240,108,41,96,0.427,11,28,0.393,15,19,0.789,16,35,51,21,9,6,11,20,12.0
6,22018,1610612760,OKC,Oklahoma City Thunder,0021801005,2019-03-11,OKC @ UTA,W,240,98,36,79,0.456,7,22,0.318,19,27,0.704,6,42,48,18,8,5,16,21,9.0
7,22018,1610612760,OKC,Oklahoma City Thunder,0021800985,2019-03-08,OKC @ LAC,L,241,110,41,102,0.402,11,44,0.25,17,26,0.654,14,38,52,20,3,7,11,34,-8.0
8,22018,1610612760,OKC,Oklahoma City Thunder,0021800976,2019-03-07,OKC @ POR,W,265,129,48,105,0.457,8,27,0.296,25,32,0.781,16,42,58,14,7,5,15,31,8.0
9,22018,1610612760,OKC,Oklahoma City Thunder,0021800963,2019-03-05,OKC @ MIN,L,239,120,42,94,0.447,18,46,0.391,18,31,0.581,15,30,45,20,4,8,12,26,-11.0
10,22018,1610612760,OKC,Oklahoma City Thunder,0021800951,2019-03-03,OKC vs. MEM,W,242,99,33,93,0.355,9,30,0.3,24,33,0.727,17,36,53,19,10,5,14,19,4.0
11,22018,1610612760,OKC,Oklahoma City Thunder,0021800940,2019-03-02,OKC @ SAS,L,240,102,40,88,0.455,7,29,0.241,15,24,0.625,11,34,45,17,7,2,13,19,-14.0
12,22018,1610612760,OKC,Oklahoma City Thunder,0021800927,2019-02-28,OKC vs. PHI,L,241,104,38,87,0.437,8,27,0.296,20,28,0.714,8,36,44,28,5,3,12,18,-4.0
13,22018,1610612760,OKC,Oklahoma City Thunder,0021800910,2019-02-26,OKC @ DEN,L,240,112,43,95,0.453,10,38,0.263,16,25,0.64,14,32,46,31,10,5,17,34,-9.0
14,22018,1610612760,OKC,Oklahoma City Thunder,0021800890,2019-02-23,OKC vs. SAC,L,240,116,40,105,0.381,14,46,0.304,22,28,0.786,16,43,59,17,2,6,14,26,-3.0
