,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612756,PHX,Phoenix Suns,0021801094,2019-03-23,PHX @ SAC,L,241,103,36,88,0.409,9,34,0.265,22,26,0.846,10.0,33.0,43.0,25,10,4,14,21,-9.0
1,22018,1610612756,PHX,Phoenix Suns,0021801077,2019-03-21,PHX vs. DET,L,238,98,35,73,0.479,7,26,0.269,21,26,0.808,7.0,28.0,35.0,22,6,4,19,27,-20.0
2,22018,1610612756,PHX,Phoenix Suns,0021801057,2019-03-18,PHX vs. CHI,L,240,101,39,84,0.464,7,26,0.269,16,26,0.615,9.0,29.0,38.0,24,5,5,12,22,-15.0
3,22018,1610612756,PHX,Phoenix Suns,0021801036,2019-03-16,PHX @ NOP,W,265,138,51,100,0.51,9,29,0.31,27,36,0.75,11.0,37.0,48.0,31,10,7,22,33,2.0
4,22018,1610612756,PHX,Phoenix Suns,0021801030,2019-03-15,PHX @ HOU,L,239,102,38,89,0.427,7,26,0.269,19,25,0.76,15.0,34.0,49.0,22,9,4,21,21,-6.0
5,22018,1610612756,PHX,Phoenix Suns,0021801019,2019-03-13,PHX vs. UTA,L,239,97,36,82,0.439,7,19,0.368,18,23,0.783,5.0,30.0,35.0,21,8,3,12,20,-17.0
6,22018,1610612756,PHX,Phoenix Suns,0021801000,2019-03-10,PHX @ GSW,W,240,115,42,86,0.488,10,25,0.4,21,27,0.778,9.0,39.0,48.0,26,10,4,14,18,4.0
7,22018,1610612756,PHX,Phoenix Suns,0021800991,2019-03-09,PHX @ POR,L,239,120,43,103,0.417,9,27,0.333,25,29,0.862,13.0,30.0,43.0,27,7,5,8,23,-7.0
8,22018,1610612756,PHX,Phoenix Suns,0021800972,2019-03-06,PHX vs. NYK,W,239,107,39,81,0.481,12,29,0.414,17,22,0.773,4.0,27.0,31.0,21,11,9,13,25,11.0
9,22018,1610612756,PHX,Phoenix Suns,0021800955,2019-03-04,PHX vs. MIL,W,241,114,41,91,0.451,7,22,0.318,25,31,0.806,17.0,39.0,56.0,22,10,10,13,23,9.0
