,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612757,POR,Portland Trail Blazers,0021801093,2019-03-23,POR vs. DET,W,240,117,43,79,0.544,11,26,0.423,20,27,0.741,11.0,31.0,42.0,22,4,4,12,14,5.0
1,22018,1610612757,POR,Portland Trail Blazers,0021801073,2019-03-20,POR vs. DAL,W,239,126,45,91,0.495,16,36,0.444,20,25,0.8,12.0,36.0,48.0,23,6,4,14,17,8.0
2,22018,1610612757,POR,Portland Trail Blazers,0021801058,2019-03-18,POR vs. IND,W,239,106,37,79,0.468,13,32,0.406,19,21,0.905,8.0,30.0,38.0,24,8,9,17,23,8.0
3,22018,1610612757,POR,Portland Trail Blazers,0021801039,2019-03-16,POR @ SAS,L,240,103,42,101,0.416,7,28,0.25,12,14,0.857,14.0,37.0,51.0,23,4,2,8,22,-5.0
4,22018,1610612757,POR,Portland Trail Blazers,0021801031,2019-03-15,POR @ NOP,W,239,122,43,96,0.448,10,27,0.37,26,32,0.813,17.0,37.0,54.0,26,7,8,15,18,12.0
5,22018,1610612757,POR,Portland Trail Blazers,0021801013,2019-03-12,POR @ LAC,W,240,125,47,96,0.49,12,31,0.387,19,26,0.731,18.0,32.0,50.0,27,8,3,12,20,21.0
6,22018,1610612757,POR,Portland Trail Blazers,0021800991,2019-03-09,POR vs. PHX,W,239,127,43,86,0.5,13,29,0.448,28,36,0.778,12.0,40.0,52.0,19,5,7,16,27,7.0
7,22018,1610612757,POR,Portland Trail Blazers,0021800976,2019-03-07,POR vs. OKC,L,265,121,37,94,0.394,9,41,0.22,38,47,0.809,14.0,37.0,51.0,14,7,8,14,27,-8.0
8,22018,1610612757,POR,Portland Trail Blazers,0021800962,2019-03-05,POR @ MEM,L,240,111,42,79,0.532,9,29,0.31,18,21,0.857,5.0,31.0,36.0,25,7,4,20,29,-9.0
9,22018,1610612757,POR,Portland Trail Blazers,0021800944,2019-03-03,POR @ CHA,W,240,118,43,96,0.448,11,32,0.344,21,23,0.913,13.0,35.0,48.0,26,9,3,11,23,10.0
10,22018,1610612757,POR,Portland Trail Blazers,0021800930,2019-03-01,POR @ TOR,L,240,117,42,85,0.494,14,33,0.424,19,23,0.826,9.0,33.0,42.0,24,9,4,16,25,-2.0
11,22018,1610612757,POR,Portland Trail Blazers,0021800913,2019-02-27,POR @ BOS,W,239,97,38,90,0.422,6,33,0.182,15,20,0.75,13.0,35.0,48.0,14,11,2,11,15,5.0
12,22018,1610612757,POR,Portland Trail Blazers,0021800898,2019-02-25,POR @ CLE,W,239,123,44,78,0.564,18,29,0.621,17,22,0.773,6.0,39.0,45.0,26,5,6,13,24,13.0
13,22018,1610612757,POR,Portland Trail Blazers,0021800882,2019-02-23,POR @ PHI,W,241,130,49,99,0.495,5,23,0.217,27,29,0.931,19.0,34.0,53.0,29,8,6,11,23,15.0
14,22018,1610612757,POR,Portland Trail Blazers,0021800869,2019-02-21,POR @ BKN,W,240,113,46,105,0.438,7,32,0.219,14,16,0.875,19.0,41.0,60.0,19,7,9,13,21,14.0
15,22018,1610612757,POR,Portland Trail Blazers,0021800862,2019-02-13,POR vs. GSW,W,241,129,43,93,0.462,16,37,0.432,27,34,0.794,14.0,34.0,48.0,24,3,4,4,16,22.0
16,22018,1610612757,POR,Portland Trail Blazers,0021800846,2019-02-11,POR @ OKC,L,240,111,36,87,0.414,11,29,0.379,28,38,0.737,10.0,36.0,46.0,18,8,7,13,24,-9.0
17,22018,1610612757,POR,Portland Trail Blazers,0021800834,2019-02-10,POR @ DAL,L,239,101,42,86,0.488,9,29,0.31,8,14,0.571,12.0,36.0,48.0,24,7,4,19,26,-1.0
18,22018,1610612757,POR,Portland Trail Blazers,0021800816,2019-02-07,POR vs. SAS,W,240,127,49,91,0.538,11,31,0.355,18,18,1.0,4.0,29.0,33.0,26,11,4,8,14,9.0
19,22018,1610612757,POR,Portland Trail Blazers,0021800803,2019-02-05,POR vs. MIA,L,241,108,42,93,0.452,15,39,0.385,9,12,0.75,7.0,26.0,33.0,30,6,2,11,21,-10.0
20,22018,1610612757,POR,Portland Trail Blazers,0021800763,2019-01-30,POR vs. UTA,W,240,132,48,90,0.533,16,32,0.5,20,23,0.87,11.0,35.0,46.0,28,7,5,13,17,27.0
21,22018,1610612757,POR,Portland Trail Blazers,0021800734,2019-01-26,POR vs. ATL,W,239,120,41,82,0.5,11,30,0.367,27,30,0.9,11.0,36.0,47.0,26,8,7,18,23,9.0
22,22018,1610612757,POR,Portland Trail Blazers,0021800718,2019-01-24,POR @ PHX,W,241,120,44,94,0.468,12,26,0.462,20,20,1.0,14.0,39.0,53.0,25,8,8,16,24,14.0
23,22018,1610612757,POR,Portland Trail Blazers,0021800703,2019-01-22,POR @ OKC,L,239,114,43,95,0.453,10,36,0.278,18,22,0.818,20.0,32.0,52.0,21,7,3,19,20,-9.0
24,22018,1610612757,POR,Portland Trail Blazers,0021800700,2019-01-21,POR @ UTA,W,238,109,45,90,0.5,8,18,0.444,11,15,0.733,7.0,37.0,44.0,30,6,9,8,22,5.0
25,22018,1610612757,POR,Portland Trail Blazers,0021800677,2019-01-18,POR vs. NOP,W,238,128,48,103,0.466,11,34,0.324,21,26,0.808,18.0,35.0,53.0,30,8,3,6,22,16.0
26,22018,1610612757,POR,Portland Trail Blazers,0021800662,2019-01-16,POR vs. CLE,W,239,129,47,89,0.528,16,29,0.552,19,23,0.826,7.0,34.0,41.0,28,1,6,4,17,17.0
27,22018,1610612757,POR,Portland Trail Blazers,0021800649,2019-01-14,POR @ SAC,L,240,107,37,92,0.402,10,31,0.323,23,29,0.793,17.0,32.0,49.0,22,6,3,14,23,-8.0
28,22018,1610612757,POR,Portland Trail Blazers,0021800643,2019-01-13,POR @ DEN,L,239,113,40,88,0.455,12,34,0.353,21,22,0.955,8.0,31.0,39.0,25,5,1,9,22,-3.0
29,22018,1610612757,POR,Portland Trail Blazers,0021800628,2019-01-11,POR vs. CHA,W,240,127,52,93,0.559,15,40,0.375,8,9,0.889,7.0,40.0,47.0,31,10,16,9,20,31.0
30,22018,1610612757,POR,Portland Trail Blazers,0021800615,2019-01-09,POR vs. CHI,W,240,124,47,83,0.566,11,26,0.423,19,21,0.905,6.0,37.0,43.0,28,6,7,16,21,12.0
