,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22018,1610612764,WAS,Washington Wizards,0021801089,2019-03-23,WAS vs. MIA,L,241,108,41,96,0.427,9,30,0.3,17,23,0.739,21.0,32.0,53.0,25,5,2,12,20,-5.0
1,22018,1610612764,WAS,Washington Wizards,0021801075,2019-03-21,WAS vs. DEN,L,240,108,40,79,0.506,8,28,0.286,20,21,0.952,6.0,32.0,38.0,25,4,2,12,15,-5.0
2,22018,1610612764,WAS,Washington Wizards,0021801069,2019-03-20,WAS @ CHI,L,266,120,44,93,0.473,14,42,0.333,18,23,0.783,12.0,38.0,50.0,25,10,9,16,21,-6.0
3,22018,1610612764,WAS,Washington Wizards,0021801051,2019-03-18,WAS vs. UTA,L,240,95,34,81,0.42,8,27,0.296,19,22,0.864,5.0,29.0,34.0,20,9,2,16,16,-21.0
4,22018,1610612764,WAS,Washington Wizards,0021801035,2019-03-16,WAS vs. MEM,W,241,135,41,81,0.506,17,35,0.486,36,43,0.837,9.0,36.0,45.0,26,6,7,11,21,7.0
5,22018,1610612764,WAS,Washington Wizards,0021801028,2019-03-15,WAS vs. CHA,L,239,110,41,84,0.488,13,34,0.382,15,19,0.789,8.0,37.0,45.0,25,8,5,17,14,-6.0
6,22018,1610612764,WAS,Washington Wizards,0021801015,2019-03-13,WAS vs. ORL,W,240,100,42,90,0.467,8,27,0.296,8,12,0.667,10.0,36.0,46.0,20,5,2,8,13,10.0
7,22018,1610612764,WAS,Washington Wizards,0021801002,2019-03-11,WAS vs. SAC,W,240,121,40,86,0.465,14,37,0.378,27,33,0.818,7.0,40.0,47.0,29,12,1,17,25,6.0
8,22018,1610612764,WAS,Washington Wizards,0021800988,2019-03-09,WAS @ MIN,L,265,130,48,100,0.48,16,44,0.364,18,24,0.75,10.0,40.0,50.0,31,8,5,18,23,-5.0
9,22018,1610612764,WAS,Washington Wizards,0021800977,2019-03-08,WAS @ CHA,L,239,111,40,86,0.465,9,27,0.333,22,26,0.846,13.0,33.0,46.0,28,8,5,14,19,-1.0
10,22018,1610612764,WAS,Washington Wizards,0021800967,2019-03-06,WAS vs. DAL,W,240,132,50,93,0.538,12,33,0.364,20,25,0.8,15.0,34.0,49.0,30,3,2,12,26,9.0
11,22018,1610612764,WAS,Washington Wizards,0021800950,2019-03-03,WAS vs. MIN,W,240,135,49,98,0.5,11,33,0.333,26,32,0.813,15.0,31.0,46.0,30,6,4,8,19,14.0
12,22018,1610612764,WAS,Washington Wizards,0021800931,2019-03-01,WAS @ BOS,L,240,96,36,89,0.404,10,38,0.263,14,19,0.737,11.0,42.0,53.0,20,7,6,18,16,-11.0
