,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Toronto Raptors,59,23,.720,,111.7,103.9,7.29
1,Boston Celtics,55,27,.671,4.0,104.0,100.4,3.23
2,Philadelphia 76ers,52,30,.634,7.0,109.8,105.3,4.30
3,Cleveland Cavaliers,50,32,.610,9.0,110.9,109.9,0.59
4,Indiana Pacers,48,34,.585,11.0,105.6,104.2,1.18
5,Miami Heat,44,38,.537,15.0,103.4,102.9,0.15
6,Milwaukee Bucks,44,38,.537,15.0,106.5,106.8,-0.45
7,Washington Wizards,43,39,.524,16.0,106.6,106.0,0.53
8,Detroit Pistons,39,43,.476,20.0,103.8,103.9,-0.26
9,Charlotte Hornets,36,46,.439,23.0,108.2,108.0,0.07
10,New York Knicks,29,53,.354,30.0,104.5,108.0,-3.53
11,Brooklyn Nets,28,54,.341,31.0,106.6,110.3,-3.67
12,Chicago Bulls,27,55,.329,32.0,102.9,110.0,-6.84
13,Orlando Magic,25,57,.305,34.0,103.4,108.2,-4.92
14,Atlanta Hawks,24,58,.293,35.0,103.4,108.8,-5.30
